COMPRIMENTO	LARGURA	ALTURA	PESO	POTENCIA	RPM	VALOR	ANO
168.8	64.1	48.8	2548	111	5000	13495	1986
168.8	64.1	48.8	2548	111	5000	16500	1985
168.8	64.1	48.8	2548	111	5000	13495	1986
168.8	64.1	48.8	2548	111	5000	16500	1985
168.8	64.1	48.8	2548	111	5000	13495	1986
168.8	64.1	48.8	2548	111	5000	16500	1985
168.8	64.1	48.8	2548	111	5000	13495	1986
168.8	64.1	48.8	2548	111	5000	16500	1985
168.8	64.1	48.8	2548	111	5000	13495	1986
171.2	65.5	52.4	2823	154	5000	16500	1984
171.2	65.5	52.4	2823	154	5000	16500	1984
171.2	65.5	52.4	2823	154	5000	16500	1984
171.2	65.5	52.4	2823	154	5000	16500	1984
176.6	66.2	54.3	2337	102	5500	13950	1982
176.6	66.4	54.3	2824	115	5500	17450	1988
176.6	66.2	54.3	2337	102	5500	13950	1982
176.6	66.4	54.3	2824	115	5500	17450	1988
176.6	66.2	54.3	2337	102	5500	13950	1982
176.6	66.4	54.3	2824	115	5500	17450	1988
176.6	66.2	54.3	2337	102	5500	13950	1982
176.6	66.4	54.3	2824	115	5500	17450	1988
177.3	66.3	53.1	2507	110	5500	15250	1987
177.3	66.3	53.1	2507	110	5500	15250	1987
177.3	66.3	53.1	2507	110	5500	15250	1987
177.3	66.3	53.1	2507	110	5500	15250	1987
178.2	67.9	52	3053	160	5500	27843	1984
178.2	67.9	52	3053	160	5500	27843	1984
178.2	67.9	52	3053	160	5500	27843	1984
178.2	67.9	52	3053	160	5500	27843	1984
192.7	71.4	55.7	2844	110	5500	17710	1981
192.7	71.4	55.7	2954	110	5500	18920	1984
192.7	71.4	55.9	3086	140	5500	23875	1985
192.7	71.4	55.7	2844	110	5500	17710	1981
192.7	71.4	55.7	2954	110	5500	18920	1984
192.7	71.4	55.9	3086	140	5500	23875	1985
192.7	71.4	55.7	2844	110	5500	17710	1981
192.7	71.4	55.7	2954	110	5500	18920	1984
192.7	71.4	55.9	3086	140	5500	23875	1985
192.7	71.4	55.7	2844	110	5500	17710	1981
192.7	71.4	55.7	2954	110	5500	18920	1984
192.7	71.4	55.9	3086	140	5500	23875	1985
176.8	64.8	54.3	2395	101	5800	16430	1989
176.8	64.8	54.3	2710	121	4250	20970	1984
176.8	64.8	54.3	2395	101	5800	16430	1989
176.8	64.8	54.3	2710	121	4250	20970	1984
176.8	64.8	54.3	2395	101	5800	16430	1989
176.8	64.8	54.3	2710	121	4250	20970	1984
176.8	64.8	54.3	2395	101	5800	16430	1989
176.8	64.8	54.3	2710	121	4250	20970	1984
176.8	64.8	54.3	2395	101	5800	16925	1987
176.8	64.8	54.3	2765	121	4250	21105	1982
176.8	64.8	54.3	2395	101	5800	16925	1987
176.8	64.8	54.3	2765	121	4250	21105	1982
176.8	64.8	54.3	2395	101	5800	16925	1987
176.8	64.8	54.3	2765	121	4250	21105	1982
176.8	64.8	54.3	2395	101	5800	16925	1987
176.8	64.8	54.3	2765	121	4250	21105	1982
189	66.9	55.7	3055	121	4250	24565	1990
189	66.9	55.7	3230	182	5400	30760	1987
189	66.9	55.7	3055	121	4250	24565	1990
189	66.9	55.7	3230	182	5400	30760	1987
189	66.9	55.7	3055	121	4250	24565	1990
189	66.9	55.7	3230	182	5400	30760	1987
189	66.9	55.7	3055	121	4250	24565	1990
189	66.9	55.7	3230	182	5400	30760	1987
193.8	67.9	53.7	3380	182	5400	41315	1986
193.8	67.9	53.7	3380	182	5400	41315	1986
193.8	67.9	53.7	3380	182	5400	41315	1986
