run;descry;denclue;dbclasd;dhc;clique;amr;dbscan;eda,eda
0;88,18306092;98,16912167;90,9161806;100;82,5922344;82,38136614;89,48096634;100,100.0
1;93,55843374;94,28325034;92,64461518;99,99;87,24846574;83,90895023;93,90147528;99,9999,100.0
2;92,56444426;93,76317766;90,9161806;100;72,04915028;81,08352796;95,79238654;100,100.0
3;88,00843121;98,21087916;92,12723269;100;0;82,35966413;89,48096634;999.999,100.0
4;91,74919845;98,43230894;93,39139014;99,99;91,34515355;82,91634054;92,56191997;100,100.0
5;93,36778438;98,25852055;92,56191997;100;89,21672268;81,77915047;95,59172161;99,9999,100.0
6;87,11686747;94,75977832;90,9161806;99,99;92,49413375;85,32666246;90,93562019;100,100.0
7;89,66752558;98,35999891;92,34613523;100;80,75499103;83,77283683;90,93665631;100,100.0
8;93,17765242;98,29467201;93,45855854;100;83,84854294;85,41784312;92,61755704;100,100.0
9;92,55553926;96,64511279;91,68171534;100;86,39172365;83,92498258;94,23848798;99,9999,100.0
10;95,19707317;92,95612814;94,74048317;100;87,40118423;83,68335803;94,74048317;100,100.0
11;90,83830454;98,08270435;91,10632189;99,99;84,66070022;81,96259926;92,64402587;100,100.0
12;89,16839571;98,26142727;90,9161806;99,99;88,1082322;85,64480903;89,96548143;99,9999,100.0
13;89,69764794;94,03115843;92,59945073;100;82,5922344;85,01296623;92,56191997;100,100.0
14;89,50566499;98,27682347;94,96439601;99,99;83,33333333;85,7017383;90,89024963;99,9999,100.0
15;90,07287968;97,77711428;93,55843374;100;88,04771391;82,77334351;92,64294292;100,100.0
16;90,89024963;98,38613789;93,37037848;100;87,87321875;86,23675653;90,89024963;100,100.0
17;90,70658881;96,54353621;90,9161806;100;82,32233047;84,02709274;92,06799731;100,100.0
18;90,75073538;95,6811765;91,99433971;100;90,28714138;80,76976835;94,74048317;100,100.0
19;88,97894451;89,84913353;92,4266528;99,99;85,78661891;84,09640786;89,96548143;99,9999,100.0
20;89,5389155;97,75735465;92,29819097;99,99;91,66666667;80,69595907;93,9744665;99,9999,100.0
21;88,73892764;98,33691599;92,37380076;100;84,95548444;84,32484511;91,26472164;100,100.0
22;90,06052416;98,44093843;93,13077641;100;83,48554352;83,6948125;92,62016074;100,99.9312
23;87,44257404;91,94746828;90,9161806;100;80,02851035;82,5037936;94,74048317;100,100.0
24;91,83231918;98,19551369;90,97854944;100;85,01701645;80,71238149;0;100,100.0
25;87,85366617;95,21374211;92,54282847;99,99;87,96141469;83,91726324;92,616513;99,9992,100.0
26;87,11686747;98,21516395;91,64957155;100;80,63508327;85,25342883;92,56191997;100,100.0
27;93,55843374;94,71945141;91,29527454;100;87,82838761;82,64756607;90,93737363;100,100.0
28;90,90396849;98,24995925;93,20438371;100;90,33263511;82,42634693;92,62006273;100,100.0
29;93,35221597;93,56120918;91,04367928;100;86,51600275;87,03190076;92,2210697;100,100.0
