1,88.69175642796982,{Reading Instances[DISTANCE:EUCLIDEAN],AdaptableKDTree[DISTANCE:MANHATTAN,DESCRY_DENSITY - 9.0,DESCRY_K - 10.0],MergeByDistance[DISTANCE:MANHATTAN,DESCRY_DENSITY - 9.0,DESCRY_K - 10.0],}
2,91.01510356796211,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:CHEBYCHEV,DBCLASD_PTS - 5.0],ClusterByConnectiveness[DISTANCE:MANHATTAN,DBSCAN_MAX_DIST - 5.666667,DBSCAN_NUM_PTS - 4.666667],}
3,93.49272671303922,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:BRAYCURTIS,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 1.1111112],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 2.5555556,DBSCAN_NUM_PTS - 4.3333335],}
4,93.49272671303922,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:BRAYCURTIS,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 1.1111112],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 2.5555556,DBSCAN_NUM_PTS - 4.3333335],}
5,93.49272671303922,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:BRAYCURTIS,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 1.1111112],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 2.5555556,DBSCAN_NUM_PTS - 4.3333335],}
6,94.28460945056192,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:BRAYCURTIS,DENCLUE_SIGMA - 2.0,DENCLUE_EPSILON - 1.1111112],ClusterByConnectiveness[DISTANCE:MANHATTAN,DBSCAN_MAX_DIST - 4.888889,DBSCAN_NUM_PTS - 5.0],}
7,94.28460945056192,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:BRAYCURTIS,DENCLUE_SIGMA - 2.0,DENCLUE_EPSILON - 1.1111112],ClusterByConnectiveness[DISTANCE:MANHATTAN,DBSCAN_MAX_DIST - 4.888889,DBSCAN_NUM_PTS - 5.0],}
8,94.28460945056192,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:BRAYCURTIS,DENCLUE_SIGMA - 2.0,DENCLUE_EPSILON - 1.1111112],ClusterByConnectiveness[DISTANCE:MANHATTAN,DBSCAN_MAX_DIST - 4.888889,DBSCAN_NUM_PTS - 5.0],}
9,94.28460945056192,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:BRAYCURTIS,DENCLUE_SIGMA - 2.0,DENCLUE_EPSILON - 1.1111112],ClusterByConnectiveness[DISTANCE:MANHATTAN,DBSCAN_MAX_DIST - 4.888889,DBSCAN_NUM_PTS - 5.0],}
10,99.81082105806377,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 2.0,DENCLUE_EPSILON - 3.3333335],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 1.7777778,DBSCAN_NUM_PTS - 2.6666667],}
11,99.81082105806377,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 2.0,DENCLUE_EPSILON - 3.3333335],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 1.7777778,DBSCAN_NUM_PTS - 2.6666667],}
