1,90.42394834417884,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 7.0],ClusterByConnectiveness[DISTANCE:EUCLIDEAN,DBSCAN_MAX_DIST - 4.111111,DBSCAN_NUM_PTS - 4.0],}
2,91.17653299773193,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 7.0],ClusterByConnectiveness[DISTANCE:MANHATTAN,DBSCAN_MAX_DIST - 7.2222223,DBSCAN_NUM_PTS - 3.3333335],}
3,91.62653342224765,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:CHEBYCHEV,DBCLASD_PTS - 4.0],MergeByDistance[DISTANCE:MANHATTAN,DESCRY_DENSITY - 4.0,DESCRY_K - 3.7777777],}
4,91.62653342224765,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:CHEBYCHEV,DBCLASD_PTS - 4.0],MergeByDistance[DISTANCE:MANHATTAN,DESCRY_DENSITY - 4.0,DESCRY_K - 3.7777777],}
5,91.62653342224765,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:CHEBYCHEV,DBCLASD_PTS - 4.0],MergeByDistance[DISTANCE:MANHATTAN,DESCRY_DENSITY - 4.0,DESCRY_K - 3.7777777],}
6,93.55736575551437,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 0.5555556],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 4.111111,DBSCAN_NUM_PTS - 4.666667],}
7,96.64511289965586,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],}
8,96.64511289965586,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],}
9,96.64511289965586,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],}
10,96.64511289965586,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],}
11,96.64511289965586,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],}
12,96.64511289965586,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],}
13,96.64511289965586,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],}
14,96.64511289965586,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],}
15,96.64511289965586,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],}
16,96.64511289965586,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],}
17,96.64511289965586,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],}
18,96.64511289965586,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],}
19,96.64511289965586,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],}
20,96.64511289965586,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],}
21,96.64511289965586,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],}
22,96.64511289965586,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],}
23,96.64511289965586,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],}
24,96.64511289965586,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],}
25,96.64511289965586,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],}
26,96.64511289965586,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],}
