@relation glass-train

@attribute RI numeric
@attribute Na numeric
@attribute Mg numeric
@attribute Al numeric
@attribute Si numeric
@attribute K numeric
@attribute Ca numeric
@attribute Ba numeric
@attribute Fe numeric
@attribute cluster {C00,C01,C02,C03}

@data
40.679522,70.460048,100,44.262295,42.456896,5.454548,18.331505,0,0,C00
25.06887,76.513317,80.178174,58.469945,62.931034,43.636365,8.232712,0,0,C01
18.503214,67.79661,79.064588,68.306011,68.534482,35.454543,7.683865,0,0,C01
24.19651,61.501211,80.623608,51.912569,70.474138,50,10.867179,0,0,C01
17.493112,49.878935,80.400891,72.677596,68.103448,58.181816,10.867179,0,74.285714,C01
24.242424,62.227604,80.178174,46.448088,70.689656,52.727274,11.964874,0,0,C01
24.793388,54.96368,80.178174,58.469945,68.534482,51.818181,14.489572,0,31.428571,C01
25.160697,50.121066,81.514477,53.551912,68.965517,54.545455,16.245884,0,0,C01
17.171717,52.058111,76.391982,60.655737,74.784483,62.72727,10.64764,0,68.571429,C01
24.471992,51.57385,79.287305,53.551912,73.275862,49.090907,14.270034,0,48.571428,C01
25.06887,50.363195,78.841871,51.36612,73.922414,52.727274,14.379803,0,0,C01
26.124885,47.215496,81.737194,47.540984,71.120689,55.454542,17.782657,0,0,C01
45.041322,87.893462,85.746102,32.786886,33.405172,13.636364,22.722284,0,0,C02
31.955922,76.755448,83.073497,48.63388,49.784483,5.454548,19.868277,0,0,C00
34.481175,97.820824,83.518931,0,47.629311,2.727274,21.075742,0,0,C02
23.921028,49.636805,80.623608,54.644809,64.224138,53.636361,17.782657,0,0,C01
24.609733,50.363195,79.510022,57.923497,69.181035,56.363635,16.575193,0,0,C01
25.206611,54.479418,78.841871,50.273224,68.75,59.090909,15.916576,0,0,C01
23.232323,51.815981,77.505568,56.830601,69.612068,50.909088,14.818881,0,0,C01
26.124885,56.900727,77.728285,54.09836,65.732759,54.545455,15.477498,0,0,C01
25.390266,46.489104,79.287305,55.191256,70.474138,55.454542,17.672888,0,39.999999,C01
24.426079,51.089588,77.951002,46.448088,74.568965,50.909088,16.136115,0,0,C01
25.711662,51.331719,77.505568,51.36612,68.103448,55.454542,16.245884,2.857143,62.857143,C01
24.701561,44.552058,77.282851,59.562841,77.155172,54.545455,16.136115,0,17.142857,C01
26.078971,47.457627,78.841871,57.377048,67.672414,51.818181,18.331505,0,0,C01
16.161616,61.985473,76.837416,50.273224,63.146552,50.909088,16.355653,0,0,C01
45.821855,84.261501,85.077951,9.836066,42.241379,10.000002,27.332601,0,0,C02
45.821855,84.261501,85.077951,9.836066,42.241379,10.000002,27.332601,0,0,C02
25.895317,60.048426,75.501114,56.830601,63.577586,53.636361,16.575193,0,0,C01
26.216712,48.42615,76.391982,49.180327,67.672414,56.363635,18.441273,0,85.714285,C01
