@relation glass-train

@attribute RI numeric
@attribute Na numeric
@attribute Mg numeric
@attribute Al numeric
@attribute Si numeric
@attribute K numeric
@attribute Ca numeric
@attribute Ba numeric
@attribute Fe numeric
@attribute cluster {C00,C01}

@data
25.06887,76.513317,80.178174,58.469945,62.931034,43.636365,8.232712,0,0,?
25.298439,60.048426,82.182628,54.644809,60.344827,51.818181,12.513722,0,0,C00
24.19651,61.501211,80.623608,51.912569,70.474138,50,10.867179,0,0,C00
24.242424,62.227604,80.178174,46.448088,70.689656,52.727274,11.964874,0,0,C00
24.793388,54.96368,80.178174,58.469945,68.534482,51.818181,14.489572,0,31.428571,C00
16.34527,48.184019,77.060134,69.398907,73.060344,60.90909,11.086719,0,68.571429,C00
25.160697,50.121066,81.514477,53.551912,68.965517,54.545455,16.245884,0,0,C00
17.171717,52.058111,76.391982,60.655737,74.784483,62.72727,10.64764,0,68.571429,C00
24.471992,51.57385,79.287305,53.551912,73.275862,49.090907,14.270034,0,48.571428,C00
25.160697,45.520582,79.955457,55.737705,75,52.727274,15.587268,0,0,C00
25.06887,50.363195,78.841871,51.36612,73.922414,52.727274,14.379803,0,0,C00
26.124885,47.215496,81.737194,47.540984,71.120689,55.454542,17.782657,0,0,C00
45.041322,87.893462,85.746102,32.786886,33.405172,13.636364,22.722284,0,0,?
24.563819,50.605326,79.064588,65.573771,63.362069,49.090907,15.806806,0,54.285714,C00
34.481175,97.820824,83.518931,0,47.629311,2.727274,21.075742,0,0,?
23.921028,49.636805,80.623608,54.644809,64.224138,53.636361,17.782657,0,0,C00
24.609733,50.363195,79.510022,57.923497,69.181035,56.363635,16.575193,0,0,C00
23.18641,64.164649,77.951002,46.994535,65.517241,45.454545,14.818881,0,0,C00
25.206611,54.479418,78.841871,50.273224,68.75,59.090909,15.916576,0,0,C00
25.390266,44.309927,78.396437,62.295082,71.982758,51.818181,16.026345,0,0,C00
26.124885,56.900727,77.728285,54.09836,65.732759,54.545455,15.477498,0,0,C00
25.390266,46.489104,79.287305,55.191256,70.474138,55.454542,17.672888,0,39.999999,C00
24.426079,51.089588,77.951002,46.448088,74.568965,50.909088,16.136115,0,0,C00
25.711662,51.331719,77.505568,51.36612,68.103448,55.454542,16.245884,2.857143,62.857143,C00
24.701561,44.552058,77.282851,59.562841,77.155172,54.545455,16.136115,0,17.142857,C00
26.078971,47.457627,78.841871,57.377048,67.672414,51.818181,18.331505,0,0,C00
16.161616,61.985473,76.837416,50.273224,63.146552,50.909088,16.355653,0,0,C00
31.864095,76.513317,78.619154,56.284152,43.103449,46.363633,18.660813,3.492063,0,?
45.821855,84.261501,85.077951,9.836066,42.241379,10.000002,27.332601,0,0,?
26.538108,49.878935,77.951002,45.355191,69.396552,58.181816,18.551043,0,0,C00
24.793388,47.941889,76.169265,49.726776,73.060344,53.636361,17.12404,0,0,C00
45.684114,72.639225,85.523385,23.497268,42.025863,15.454544,29.198683,0,0,C01
31.450872,66.828087,77.505568,57.923497,46.12069,50,21.075742,0,0,C00
30.027548,59.564164,75.055679,48.63388,62.715517,51.818181,19.20966,0,45.714286,C00
66.666667,78.934624,82.405345,22.950819,37.931034,1.818181,30.07684,0,28.571428,?
31.359044,69.007264,74.610245,51.36612,48.922413,53.636361,20.087816,0,0,C00
50.734618,72.397095,82.85078,12.021859,41.810345,8.181816,32.711307,0,45.714286,?
27.226813,65.375303,63.919822,49.180327,65.301724,50,21.40505,0,0,C00
28.55831,58.353512,63.25167,54.09836,65.517241,50,21.844127,0,0,C00
25.849403,60.048426,62.583519,54.644809,68.318966,46.363633,21.29528,0,25.714286,?
27.961432,51.815981,77.505568,54.644809,67.672414,54.545455,14.818881,0,0,C00
24.747475,66.585956,83.296214,48.087431,68.534482,53.636361,10.428102,0,0,C00
24.747475,64.40678,81.514477,49.180327,64.224138,51.818181,13.062569,0,31.428571,C00
34.986226,74.576271,79.732739,56.284152,41.163793,10.90909,17.453348,21.904762,0,?
46.464646,83.292978,84.855234,26.775957,33.189655,0,28.649836,0,0,?
43.939394,66.585956,83.296214,33.333333,47.413793,16.363637,27.77168,0,20,?
40.587695,71.670702,79.955457,45.355191,46.336207,8.181816,25.466521,0,0,?
43.02112,56.174334,81.291759,31.693989,54.094828,17.272725,30.406148,0,48.571428,?
43.02112,57.86925,79.732739,33.333333,51.50862,20.909092,30.07684,0,45.714286,?
49.816345,62.469733,79.732739,28.961748,46.982758,10.90909,33.918771,0,8.571429,?
16.483012,100,81.737194,79.234973,44.396551,14.545457,3.073546,0,34.285715,?
29.063361,70.460048,86.191537,53.551912,46.336207,49.090907,13.611416,0,91.428571,?
19.100092,63.196126,79.510022,69.945354,65.948276,55.454542,8.891329,0,0,C00
17.493112,55.447942,79.287305,68.306011,71.120689,65.454544,9.001098,0,0,C00
19.742883,65.617434,80.400891,68.306011,55.603449,59.999997,10.428102,0,0,?
18.916437,54.96368,79.732739,68.306011,65.086206,55.454542,10.537871,0,0,C00
18.273645,77.23971,78.396437,52.459016,66.163794,33.636363,9.440177,0,39.999999,?
17.21763,50.605326,78.396437,87.978141,65.732759,62.72727,9.769485,0,0,?
17.355372,61.01695,76.837416,62.295082,72.413793,55.454542,8.56202,0,0,C00
19.788797,64.891042,79.064588,52.459016,64.655173,61.818183,11.196487,0,0,?
8.907254,85.230025,68.819599,97.814208,53.232759,100,0,0,0,?
18.82461,63.680387,79.732739,65.573771,62.715517,40.909091,12.403952,0,0,C00
16.253443,60.774819,77.728285,64.480875,74.13793,34.545456,10.428102,0,0,C00
19.742883,64.648911,77.728285,67.213114,61.206897,60.90909,10.976949,0,28.571428,C00
18.503214,55.205811,77.951002,65.027322,66.37931,54.545455,11.416027,0,0,C00
19.513315,44.067797,77.505568,86.338798,73.706897,57.272728,10.976949,0,25.714286,?
28.741964,53.268766,83.296214,44.808742,53.232759,58.181816,20.636663,0,62.857143,?
17.906336,52.542373,76.614699,63.387979,70.043103,39.999998,13.062569,0,0,C00
17.21763,60.774819,74.387528,64.480875,70.905172,35.454543,12.513722,0,0,C00
19.008264,47.941889,74.164811,65.573771,74.784483,60.90909,12.733261,0,0,C00
24.242424,35.59322,72.383073,47.540984,80.603448,56.363635,19.978047,0,68.571429,?
21.763085,46.973365,64.142539,77.595628,73.275862,66.363632,16.026345,0,0,C00
20.202019,48.910412,63.474388,62.84153,74.568965,51.818181,18.770582,3.492063,62.857143,C00
69.329661,74.334141,70.155902,20.21858,16.379311,7.272728,50.054885,0,0,?
57.85124,17.433415,0,86.885245,51.293103,73.63636,67.618002,0,97.142858,?
87.695133,0,0,98.907104,0,52.727274,68.276619,100,80,?
100,38.014529,0,38.797814,7.543103,10.90909,100,0,68.571429,?
46.235078,89.588378,0,38.797814,61.637931,9.090909,48.737651,0,22.857144,?
66.528925,12.106538,0,26.229508,73.275862,0,83.424808,0,0,?
69.972452,7.021791,0,25.136612,70.474138,0,86.498353,0,0,?
71.717172,46.246974,0,20.765027,47.629311,5.454548,80.351262,0,0,?
29.017447,57.384988,88.418708,49.180327,56.681035,54.545455,14.818881,0,0,C00
28.971533,64.891042,86.636971,56.830601,55.387931,46.363633,13.172339,0,0,C00
28.191001,60.774819,86.859688,61.202186,54.310345,50,13.501647,0,28.571428,C00
22.635445,72.397095,81.959911,83.060109,48.491379,58.181816,8.78156,0,0,C00
21.028466,62.227604,81.069042,67.759562,58.62069,59.090909,10.428102,0,82.857143,?
20.064279,68.523003,79.510022,64.480875,56.896551,58.181816,9.659715,0,0,C00
28.879706,61.01695,83.741648,56.284152,55.818965,52.727274,14.709111,0,0,C00
22.589532,66.585956,77.505568,77.595628,58.405172,56.363635,9.989024,0,0,C00
44.168962,59.806295,81.959911,46.994535,63.362069,49.090907,15.806806,0,0,C00
36.960514,78.692493,30.066815,73.224043,42.025863,35.454543,38.199781,0,51.428572,?
64.233241,71.912833,0,58.469945,30.818965,17.272725,69.813392,0,28.571428,?
27.456382,65.375303,88.641425,48.63388,57.758621,52.727274,11.745335,0,0,C00
26.859504,72.154964,87.52784,68.306011,43.103449,49.090907,12.403952,0,42.857143,?
27.364555,62.953995,85.746102,52.459016,64.00862,47.272726,11.416027,0,0,C00
26.354453,59.564164,86.859688,55.191256,54.310345,50,14.928651,0,80,?
22.773186,52.300242,80.623608,69.945354,67.887931,55.454542,11.306257,0,0,C00
21.808999,62.953995,78.841871,72.131147,58.836207,61.818183,11.306257,0,0,C00
29.201102,59.806295,80.846325,42.62295,65.086206,51.818181,14.599342,2.857143,48.571428,C00
20.523415,51.331719,78.173719,62.84153,68.965517,61.818183,12.623491,1.904762,71.428572,C00
22.681359,54.96368,77.282851,81.967213,62.715517,59.999997,12.074644,0,0,C00
20.431588,54.721549,70.824053,51.36612,68.103448,52.727274,18.990121,0,68.571429,C00
25.436179,70.702179,81.514477,44.808742,63.793104,10.000002,16.684963,0,0,?
18.135904,62.953995,78.619154,57.377048,61.637931,50.909088,13.721186,0,0,C00
