1,87.97334756733865,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:MANHATTAN,DBCLASD_PTS - 10.0],ClusterByConnectiveness[DISTANCE:MANHATTAN,DBSCAN_NUM_PTS - 5.0,DBSCAN_MAX_DIST - 4.111111],}
2,89.79379273840343,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 3.0],MergeByDistance[DISTANCE:MANHATTAN,DESCRY_K - 2.8888888,DESCRY_DENSITY - 7.0],}
3,90.81731058501616,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 2.777778,DENCLUE_SIGMA - 8.0],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 2.777778,DENCLUE_SIGMA - 8.0],}
4,90.9380426665828,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 16.666668,CLIQUE_THRESHOLD - 0.08888894],ClustersByAttractors[DISTANCE:BRAYCURTIS,DENCLUE_EPSILON - 1.1111112,DENCLUE_SIGMA - 10.0],}
5,90.9380426665828,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 16.666668,CLIQUE_THRESHOLD - 0.08888894],ClustersByAttractors[DISTANCE:BRAYCURTIS,DENCLUE_EPSILON - 1.1111112,DENCLUE_SIGMA - 10.0],}
6,90.9380426665828,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 16.666668,CLIQUE_THRESHOLD - 0.08888894],ClustersByAttractors[DISTANCE:BRAYCURTIS,DENCLUE_EPSILON - 1.1111112,DENCLUE_SIGMA - 10.0],}
7,90.9380426665828,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 16.666668,CLIQUE_THRESHOLD - 0.08888894],ClustersByAttractors[DISTANCE:BRAYCURTIS,DENCLUE_EPSILON - 1.1111112,DENCLUE_SIGMA - 10.0],}
8,90.9380426665828,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 16.666668,CLIQUE_THRESHOLD - 0.08888894],ClustersByAttractors[DISTANCE:BRAYCURTIS,DENCLUE_EPSILON - 1.1111112,DENCLUE_SIGMA - 10.0],}
9,96.57043693525064,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_EPSILON - 3.888889,DENCLUE_SIGMA - 3.0],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_NUM_PTS - 5.0,DBSCAN_MAX_DIST - 6.4444447],}
10,96.57043693525064,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_EPSILON - 3.888889,DENCLUE_SIGMA - 3.0],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_NUM_PTS - 5.0,DBSCAN_MAX_DIST - 6.4444447],}
11,96.57043693525064,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_EPSILON - 3.888889,DENCLUE_SIGMA - 3.0],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_NUM_PTS - 5.0,DBSCAN_MAX_DIST - 6.4444447],}
12,96.57043693525064,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_EPSILON - 3.888889,DENCLUE_SIGMA - 3.0],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_NUM_PTS - 5.0,DBSCAN_MAX_DIST - 6.4444447],}
