@relation glass-train

@attribute RI numeric
@attribute Na numeric
@attribute Mg numeric
@attribute Al numeric
@attribute Si numeric
@attribute K numeric
@attribute Ca numeric
@attribute Ba numeric
@attribute Fe numeric
@attribute cluster {C00,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50}

@data
40.679522,70.460048,100,44.262295,42.456896,5.454548,18.331505,0,0,C44
25.06887,76.513317,80.178174,58.469945,62.931034,43.636365,8.232712,0,0,?
25.298439,60.048426,82.182628,54.644809,60.344827,51.818181,12.513722,0,0,C30
17.493112,49.878935,80.400891,72.677596,68.103448,58.181816,10.867179,0,74.285714,?
24.839302,58.595641,80.400891,41.530054,73.922414,51.818181,12.733261,0,0,C28
32.277318,80.145279,79.732739,59.016394,48.922413,50.909088,13.391877,0,0,C40
24.793388,54.96368,80.178174,58.469945,68.534482,51.818181,14.489572,0,31.428571,?
16.34527,48.184019,77.060134,69.398907,73.060344,60.90909,11.086719,0,68.571429,C02
25.160697,50.121066,81.514477,53.551912,68.965517,54.545455,16.245884,0,0,?
25.160697,45.520582,79.955457,55.737705,75,52.727274,15.587268,0,0,C19
25.06887,50.363195,78.841871,51.36612,73.922414,52.727274,14.379803,0,0,?
26.124885,47.215496,81.737194,47.540984,71.120689,55.454542,17.782657,0,0,C24
45.041322,87.893462,85.746102,32.786886,33.405172,13.636364,22.722284,0,0,C47
24.563819,50.605326,79.064588,65.573771,63.362069,49.090907,15.806806,0,54.285714,?
34.481175,97.820824,83.518931,0,47.629311,2.727274,21.075742,0,0,?
23.921028,49.636805,80.623608,54.644809,64.224138,53.636361,17.782657,0,0,?
24.609733,50.363195,79.510022,57.923497,69.181035,56.363635,16.575193,0,0,C23
25.206611,54.479418,78.841871,50.273224,68.75,59.090909,15.916576,0,0,C26
26.538108,60.048426,77.505568,61.202186,60.991379,53.636361,14.818881,0,0,?
23.232323,51.815981,77.505568,56.830601,69.612068,50.909088,14.818881,0,0,C12
25.390266,44.309927,78.396437,62.295082,71.982758,51.818181,16.026345,0,0,C20
26.124885,56.900727,77.728285,54.09836,65.732759,54.545455,15.477498,0,0,?
25.390266,46.489104,79.287305,55.191256,70.474138,55.454542,17.672888,0,39.999999,?
24.426079,51.089588,77.951002,46.448088,74.568965,50.909088,16.136115,0,0,C25
25.711662,51.331719,77.505568,51.36612,68.103448,55.454542,16.245884,2.857143,62.857143,?
24.701561,44.552058,77.282851,59.562841,77.155172,54.545455,16.136115,0,17.142857,?
26.078971,47.457627,78.841871,57.377048,67.672414,51.818181,18.331505,0,0,?
16.161616,61.985473,76.837416,50.273224,63.146552,50.909088,16.355653,0,0,?
26.721763,48.668281,77.505568,57.923497,67.887931,58.181816,17.563118,0,0,C23
45.821855,84.261501,85.077951,9.836066,42.241379,10.000002,27.332601,0,0,C46
26.538108,49.878935,77.951002,45.355191,69.396552,58.181816,18.551043,0,0,?
24.793388,47.941889,76.169265,49.726776,73.060344,53.636361,17.12404,0,0,C22
25.895317,60.048426,75.501114,56.830601,63.577586,53.636361,16.575193,0,0,C29
45.684114,72.639225,85.523385,23.497268,42.025863,15.454544,29.198683,0,0,?
26.216712,48.42615,76.391982,49.180327,67.672414,56.363635,18.441273,0,85.714285,C21
30.027548,59.564164,75.055679,48.63388,62.715517,51.818181,19.20966,0,45.714286,C36
66.666667,78.934624,82.405345,22.950819,37.931034,1.818181,30.07684,0,28.571428,C49
31.359044,69.007264,74.610245,51.36612,48.922413,53.636361,20.087816,0,0,C39
27.226813,65.375303,63.919822,49.180327,65.301724,50,21.40505,0,0,C31
25.849403,60.048426,62.583519,54.644809,68.318966,46.363633,21.29528,0,25.714286,?
25.436179,41.64649,60.356347,54.644809,83.836207,50.909088,21.734358,0,68.571429,?
0,54.721549,77.282851,45.355191,68.318966,56.363635,13.940724,0,88.571429,C41
24.747475,66.585956,83.296214,48.087431,68.534482,53.636361,10.428102,0,0,?
43.939394,67.312348,85.96882,32.240437,42.672414,20.909092,27.003293,0,31.428571,?
43.939394,66.585956,83.296214,33.333333,47.413793,16.363637,27.77168,0,20,?
43.02112,56.174334,81.291759,31.693989,51.939655,17.272725,30.406148,0,48.571428,C43
43.02112,56.174334,81.291759,31.693989,54.094828,17.272725,30.406148,0,48.571428,C43
43.02112,57.86925,79.732739,33.333333,51.50862,20.909092,30.07684,0,45.714286,C42
16.483012,100,81.737194,79.234973,44.396551,14.545457,3.073546,0,34.285715,?
29.063361,70.460048,86.191537,53.551912,46.336207,49.090907,13.611416,0,91.428571,?
17.493112,55.447942,79.287305,68.306011,71.120689,65.454544,9.001098,0,0,?
17.21763,55.447942,79.732739,66.666667,71.336207,62.72727,9.659715,0,0,C05
19.742883,65.617434,80.400891,68.306011,55.603449,59.999997,10.428102,0,0,?
18.916437,54.96368,79.732739,68.306011,65.086206,55.454542,10.537871,0,0,?
17.355372,61.01695,76.837416,62.295082,72.413793,55.454542,8.56202,0,0,?
8.907254,85.230025,68.819599,97.814208,53.232759,100,0,0,0,C00
18.82461,63.680387,79.732739,65.573771,62.715517,40.909091,12.403952,0,0,?
16.253443,60.774819,77.728285,64.480875,74.13793,34.545456,10.428102,0,0,C08
19.742883,64.648911,77.728285,67.213114,61.206897,60.90909,10.976949,0,28.571428,C09
18.503214,55.205811,77.951002,65.027322,66.37931,54.545455,11.416027,0,0,?
19.513315,44.067797,77.505568,86.338798,73.706897,57.272728,10.976949,0,25.714286,C01
28.741964,53.268766,83.296214,44.808742,53.232759,58.181816,20.636663,0,62.857143,C34
17.906336,52.542373,76.614699,63.387979,70.043103,39.999998,13.062569,0,0,C03
17.125803,57.86925,75.946548,70.491803,74.353448,6.363635,14.379803,0,54.285714,C04
17.21763,60.774819,74.387528,64.480875,70.905172,35.454543,12.513722,0,0,C06
19.008264,47.941889,74.164811,65.573771,74.784483,60.90909,12.733261,0,0,?
29.614324,63.680387,76.391982,62.295082,52.801724,46.363633,16.684963,0,0,?
28.741964,55.447942,80.623608,42.076503,54.525861,58.181816,22.502745,0,42.857143,?
20.202019,48.910412,63.474388,62.84153,74.568965,51.818181,18.770582,3.492063,62.857143,?
23.645546,39.225181,60.579065,73.224043,65.948276,63.636364,23.600439,0,0,C10
27.777777,45.762713,61.469933,29.508197,86.206896,31.818182,25.686059,0,57.142857,C18
69.329661,74.334141,70.155902,20.21858,16.379311,7.272728,50.054885,0,0,?
54.86685,75.060532,64.587973,48.087431,28.87931,7.272728,40.724478,0,0,?
57.85124,17.433415,0,86.885245,51.293103,73.63636,67.618002,0,97.142858,C48
100,38.014529,0,38.797814,7.543103,10.90909,100,0,68.571429,?
46.235078,89.588378,0,38.797814,61.637931,9.090909,48.737651,0,22.857144,?
27.68595,72.397095,0,14.754098,100,0,42.919868,0,0,?
66.528925,12.106538,0,26.229508,73.275862,0,83.424808,0,0,?
69.972452,7.021791,0,25.136612,70.474138,0,86.498353,0,0,?
71.717172,46.246974,0,20.765027,47.629311,5.454548,80.351262,0,0,C50
31.083562,66.101696,85.300668,53.005465,59.051724,51.818181,12.403952,0,39.999999,C38
28.971533,64.891042,86.636971,56.830601,55.387931,46.363633,13.172339,0,0,?
22.635445,72.397095,81.959911,83.060109,48.491379,58.181816,8.78156,0,0,C17
21.028466,62.227604,81.069042,67.759562,58.62069,59.090909,10.428102,0,82.857143,?
28.879706,61.01695,83.741648,56.284152,55.818965,52.727274,14.709111,0,0,C37
20.56933,53.268766,78.841871,72.677596,67.887931,58.181816,10.428102,0,60.000001,C13
21.671257,60.532688,78.841871,65.027322,65.301724,50.909088,11.196487,0,0,?
30.165289,53.268766,81.514477,69.398907,58.189655,52.727274,16.136115,0,34.285715,C35
20.752984,53.510896,80.400891,53.005465,63.362069,50.909088,16.684963,0,0,?
39.761249,73.84988,50.77951,62.295082,46.982758,44.545452,30.406148,0,48.571428,?
44.168962,73.123487,22.494432,58.469945,51.293103,30.000001,44.56641,0,0,C45
26.859504,72.154964,87.52784,68.306011,43.103449,49.090907,12.403952,0,42.857143,C33
27.364555,62.953995,85.746102,52.459016,64.00862,47.272726,11.416027,0,0,?
