1,86.3417213258231,{Reading Instances[DISTANCE:EUCLIDEAN],AdaptableKDTree[DISTANCE:MANHATTAN,DESCRY_K - 5.5555553,DESCRY_DENSITY - 9.0],MergeByDistance[DISTANCE:CHEBYCHEV,DESCRY_K - 5.5555553,DESCRY_DENSITY - 9.0],}
2,88.076814000252,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:EUCLIDEAN,DBCLASD_PTS - 5.0],MergeByDistance[DISTANCE:CHEBYCHEV,DESCRY_K - 3.7777777,DESCRY_DENSITY - 9.0],}
3,88.076814000252,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:EUCLIDEAN,DBCLASD_PTS - 5.0],MergeByDistance[DISTANCE:CHEBYCHEV,DESCRY_K - 3.7777777,DESCRY_DENSITY - 9.0],}
4,88.076814000252,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:EUCLIDEAN,DBCLASD_PTS - 5.0],MergeByDistance[DISTANCE:CHEBYCHEV,DESCRY_K - 3.7777777,DESCRY_DENSITY - 9.0],}
5,88.66850923525507,{Reading Instances[DISTANCE:EUCLIDEAN],AdaptableKDTree[DISTANCE:BRAYCURTIS,DESCRY_K - 6.4444447,DESCRY_DENSITY - 6.0],MergeByDistance[DISTANCE:BRAYCURTIS,DESCRY_K - 6.4444447,DESCRY_DENSITY - 6.0],}
6,88.66850923525507,{Reading Instances[DISTANCE:EUCLIDEAN],AdaptableKDTree[DISTANCE:BRAYCURTIS,DESCRY_K - 6.4444447,DESCRY_DENSITY - 6.0],MergeByDistance[DISTANCE:BRAYCURTIS,DESCRY_K - 6.4444447,DESCRY_DENSITY - 6.0],}
7,88.66850923525507,{Reading Instances[DISTANCE:EUCLIDEAN],AdaptableKDTree[DISTANCE:BRAYCURTIS,DESCRY_K - 6.4444447,DESCRY_DENSITY - 6.0],MergeByDistance[DISTANCE:BRAYCURTIS,DESCRY_K - 6.4444447,DESCRY_DENSITY - 6.0],}
8,88.66850923525507,{Reading Instances[DISTANCE:EUCLIDEAN],AdaptableKDTree[DISTANCE:BRAYCURTIS,DESCRY_K - 6.4444447,DESCRY_DENSITY - 6.0],MergeByDistance[DISTANCE:BRAYCURTIS,DESCRY_K - 6.4444447,DESCRY_DENSITY - 6.0],}
9,88.81148827823759,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_EPSILON - 5.0,DENCLUE_SIGMA - 9.0],ClusterByConnectiveness[DISTANCE:BRAYCURTIS,DBSCAN_NUM_PTS - 4.0,DBSCAN_MAX_DIST - 8.0],}
10,92.62262403830863,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:EUCLIDEAN,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 9.0],ClustersByAttractors[DISTANCE:EUCLIDEAN,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 9.0],}
11,92.62262403830863,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:EUCLIDEAN,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 9.0],ClustersByAttractors[DISTANCE:EUCLIDEAN,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 9.0],}
12,92.62262403830863,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:EUCLIDEAN,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 9.0],ClustersByAttractors[DISTANCE:EUCLIDEAN,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 9.0],}
13,92.62262403830863,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:EUCLIDEAN,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 9.0],ClustersByAttractors[DISTANCE:EUCLIDEAN,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 9.0],}
14,92.62262403830863,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:EUCLIDEAN,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 9.0],ClustersByAttractors[DISTANCE:EUCLIDEAN,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 9.0],}
15,92.62262403830863,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:EUCLIDEAN,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 9.0],ClustersByAttractors[DISTANCE:EUCLIDEAN,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 9.0],}
16,92.62262403830863,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:EUCLIDEAN,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 9.0],ClustersByAttractors[DISTANCE:EUCLIDEAN,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 9.0],}
17,92.62262403830863,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:EUCLIDEAN,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 9.0],ClustersByAttractors[DISTANCE:EUCLIDEAN,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 9.0],}
18,92.62262403830863,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:EUCLIDEAN,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 9.0],ClustersByAttractors[DISTANCE:EUCLIDEAN,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 9.0],}
19,92.62262403830863,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:EUCLIDEAN,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 9.0],ClustersByAttractors[DISTANCE:EUCLIDEAN,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 9.0],}
20,92.62262403830863,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:EUCLIDEAN,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 9.0],ClustersByAttractors[DISTANCE:EUCLIDEAN,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 9.0],}
21,92.62262403830863,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:EUCLIDEAN,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 9.0],ClustersByAttractors[DISTANCE:EUCLIDEAN,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 9.0],}
22,92.62262403830863,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:EUCLIDEAN,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 9.0],ClustersByAttractors[DISTANCE:EUCLIDEAN,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 9.0],}
23,92.62262403830863,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:EUCLIDEAN,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 9.0],ClustersByAttractors[DISTANCE:EUCLIDEAN,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 9.0],}
24,92.62262403830863,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:EUCLIDEAN,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 9.0],ClustersByAttractors[DISTANCE:EUCLIDEAN,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 9.0],}
25,92.62262403830863,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:EUCLIDEAN,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 9.0],ClustersByAttractors[DISTANCE:EUCLIDEAN,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 9.0],}
26,92.62262403830863,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:EUCLIDEAN,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 9.0],ClustersByAttractors[DISTANCE:EUCLIDEAN,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 9.0],}
27,92.62262403830863,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:EUCLIDEAN,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 9.0],ClustersByAttractors[DISTANCE:EUCLIDEAN,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 9.0],}
28,92.62262403830863,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:EUCLIDEAN,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 9.0],ClustersByAttractors[DISTANCE:EUCLIDEAN,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 9.0],}
29,92.62262403830863,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:EUCLIDEAN,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 9.0],ClustersByAttractors[DISTANCE:EUCLIDEAN,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 9.0],}
30,92.62262403830863,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:EUCLIDEAN,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 9.0],ClustersByAttractors[DISTANCE:EUCLIDEAN,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 9.0],}
31,92.76116880695177,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:EUCLIDEAN,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 8.0],ClustersByAttractors[DISTANCE:BRAYCURTIS,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 8.0],}
