1,93.06624754718463,{Reading Instances[DISTANCE:EUCLIDEAN],AdaptableKDTree[DISTANCE:CHEBYCHEV,DESCRY_K - 4.666667,DESCRY_DENSITY - 8.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 4.666667,DESCRY_DENSITY - 8.0],}
2,93.23237795444284,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_EPSILON - 2.2222223,DENCLUE_SIGMA - 4.0],ClusterByConnectiveness[DISTANCE:MANHATTAN,DBSCAN_NUM_PTS - 5.0,DBSCAN_MAX_DIST - 4.111111],}
3,94.7585758163904,{Reading Instances[DISTANCE:EUCLIDEAN],AdaptableKDTree[DISTANCE:EUCLIDEAN,DESCRY_K - 7.3333335,DESCRY_DENSITY - 6.0],MergeByDistance[DISTANCE:BRAYCURTIS,DESCRY_K - 7.3333335,DESCRY_DENSITY - 6.0],}
4,94.7585758163904,{Reading Instances[DISTANCE:EUCLIDEAN],AdaptableKDTree[DISTANCE:EUCLIDEAN,DESCRY_K - 7.3333335,DESCRY_DENSITY - 6.0],MergeByDistance[DISTANCE:BRAYCURTIS,DESCRY_K - 7.3333335,DESCRY_DENSITY - 6.0],}
5,94.7585758163904,{Reading Instances[DISTANCE:EUCLIDEAN],AdaptableKDTree[DISTANCE:EUCLIDEAN,DESCRY_K - 7.3333335,DESCRY_DENSITY - 6.0],MergeByDistance[DISTANCE:BRAYCURTIS,DESCRY_K - 7.3333335,DESCRY_DENSITY - 6.0],}
6,94.7585758163904,{Reading Instances[DISTANCE:EUCLIDEAN],AdaptableKDTree[DISTANCE:EUCLIDEAN,DESCRY_K - 7.3333335,DESCRY_DENSITY - 6.0],MergeByDistance[DISTANCE:BRAYCURTIS,DESCRY_K - 7.3333335,DESCRY_DENSITY - 6.0],}
7,94.7585758163904,{Reading Instances[DISTANCE:EUCLIDEAN],AdaptableKDTree[DISTANCE:EUCLIDEAN,DESCRY_K - 7.3333335,DESCRY_DENSITY - 6.0],MergeByDistance[DISTANCE:BRAYCURTIS,DESCRY_K - 7.3333335,DESCRY_DENSITY - 6.0],}
8,94.7585758163904,{Reading Instances[DISTANCE:EUCLIDEAN],AdaptableKDTree[DISTANCE:EUCLIDEAN,DESCRY_K - 7.3333335,DESCRY_DENSITY - 6.0],MergeByDistance[DISTANCE:BRAYCURTIS,DESCRY_K - 7.3333335,DESCRY_DENSITY - 6.0],}
9,94.7585758163904,{Reading Instances[DISTANCE:EUCLIDEAN],AdaptableKDTree[DISTANCE:EUCLIDEAN,DESCRY_K - 7.3333335,DESCRY_DENSITY - 6.0],MergeByDistance[DISTANCE:BRAYCURTIS,DESCRY_K - 7.3333335,DESCRY_DENSITY - 6.0],}
10,94.7585758163904,{Reading Instances[DISTANCE:EUCLIDEAN],AdaptableKDTree[DISTANCE:BRAYCURTIS,DESCRY_K - 7.3333335,DESCRY_DENSITY - 9.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 7.3333335,DESCRY_DENSITY - 9.0],}
11,94.7585758163904,{Reading Instances[DISTANCE:EUCLIDEAN],AdaptableKDTree[DISTANCE:BRAYCURTIS,DESCRY_K - 7.3333335,DESCRY_DENSITY - 9.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 7.3333335,DESCRY_DENSITY - 9.0],}
12,94.7585758163904,{Reading Instances[DISTANCE:EUCLIDEAN],AdaptableKDTree[DISTANCE:BRAYCURTIS,DESCRY_K - 7.3333335,DESCRY_DENSITY - 9.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 7.3333335,DESCRY_DENSITY - 9.0],}
13,94.7585758163904,{Reading Instances[DISTANCE:EUCLIDEAN],AdaptableKDTree[DISTANCE:CHEBYCHEV,DESCRY_K - 7.3333335,DESCRY_DENSITY - 6.0],MergeByDistance[DISTANCE:CHEBYCHEV,DESCRY_K - 7.3333335,DESCRY_DENSITY - 6.0],}
14,94.7585758163904,{Reading Instances[DISTANCE:EUCLIDEAN],AdaptableKDTree[DISTANCE:CHEBYCHEV,DESCRY_K - 7.3333335,DESCRY_DENSITY - 6.0],MergeByDistance[DISTANCE:CHEBYCHEV,DESCRY_K - 7.3333335,DESCRY_DENSITY - 6.0],}
15,94.7585758163904,{Reading Instances[DISTANCE:EUCLIDEAN],AdaptableKDTree[DISTANCE:CHEBYCHEV,DESCRY_K - 7.3333335,DESCRY_DENSITY - 6.0],MergeByDistance[DISTANCE:CHEBYCHEV,DESCRY_K - 7.3333335,DESCRY_DENSITY - 6.0],}
16,94.7585758163904,{Reading Instances[DISTANCE:EUCLIDEAN],AdaptableKDTree[DISTANCE:MANHATTAN,DESCRY_K - 7.3333335,DESCRY_DENSITY - 10.0],MergeByDistance[DISTANCE:BRAYCURTIS,DESCRY_K - 7.3333335,DESCRY_DENSITY - 10.0],}
17,94.7585758163904,{Reading Instances[DISTANCE:EUCLIDEAN],AdaptableKDTree[DISTANCE:MANHATTAN,DESCRY_K - 7.3333335,DESCRY_DENSITY - 10.0],MergeByDistance[DISTANCE:BRAYCURTIS,DESCRY_K - 7.3333335,DESCRY_DENSITY - 10.0],}
18,94.7585758163904,{Reading Instances[DISTANCE:EUCLIDEAN],AdaptableKDTree[DISTANCE:MANHATTAN,DESCRY_K - 7.3333335,DESCRY_DENSITY - 10.0],MergeByDistance[DISTANCE:BRAYCURTIS,DESCRY_K - 7.3333335,DESCRY_DENSITY - 10.0],}
