@relation glass-train

@attribute RI numeric
@attribute Na numeric
@attribute Mg numeric
@attribute Al numeric
@attribute Si numeric
@attribute K numeric
@attribute Ca numeric
@attribute Ba numeric
@attribute Fe numeric
@attribute cluster {C00,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49}

@data
40.679522,70.460048,100,44.262295,42.456896,5.454548,18.331505,0,0,C42
25.06887,76.513317,80.178174,58.469945,62.931034,43.636365,8.232712,0,0,?
18.503214,67.79661,79.064588,68.306011,68.534482,35.454543,7.683865,0,0,C08
24.19651,61.501211,80.623608,51.912569,70.474138,50,10.867179,0,0,?
17.493112,49.878935,80.400891,72.677596,68.103448,58.181816,10.867179,0,74.285714,?
24.242424,62.227604,80.178174,46.448088,70.689656,52.727274,11.964874,0,0,C27
32.277318,80.145279,79.732739,59.016394,48.922413,50.909088,13.391877,0,0,?
24.793388,54.96368,80.178174,58.469945,68.534482,51.818181,14.489572,0,31.428571,?
16.34527,48.184019,77.060134,69.398907,73.060344,60.90909,11.086719,0,68.571429,C01
25.160697,50.121066,81.514477,53.551912,68.965517,54.545455,16.245884,0,0,?
17.171717,52.058111,76.391982,60.655737,74.784483,62.72727,10.64764,0,68.571429,?
25.06887,50.363195,78.841871,51.36612,73.922414,52.727274,14.379803,0,0,?
45.041322,87.893462,85.746102,32.786886,33.405172,13.636364,22.722284,0,0,C46
31.955922,76.755448,83.073497,48.63388,49.784483,5.454548,19.868277,0,0,C37
23.875115,55.447942,78.841871,76.502732,62.931034,49.090907,14.928651,0,20,C13
34.481175,97.820824,83.518931,0,47.629311,2.727274,21.075742,0,0,C39
23.921028,49.636805,80.623608,54.644809,64.224138,53.636361,17.782657,0,0,?
24.609733,50.363195,79.510022,57.923497,69.181035,56.363635,16.575193,0,0,C21
25.206611,54.479418,78.841871,50.273224,68.75,59.090909,15.916576,0,0,?
26.538108,60.048426,77.505568,61.202186,60.991379,53.636361,14.818881,0,0,?
25.390266,44.309927,78.396437,62.295082,71.982758,51.818181,16.026345,0,0,?
26.124885,56.900727,77.728285,54.09836,65.732759,54.545455,15.477498,0,0,C25
24.426079,51.089588,77.951002,46.448088,74.568965,50.909088,16.136115,0,0,?
25.711662,51.331719,77.505568,51.36612,68.103448,55.454542,16.245884,2.857143,62.857143,C23
24.701561,44.552058,77.282851,59.562841,77.155172,54.545455,16.136115,0,17.142857,C18
26.078971,47.457627,78.841871,57.377048,67.672414,51.818181,18.331505,0,0,?
16.161616,61.985473,76.837416,50.273224,63.146552,50.909088,16.355653,0,0,C05
26.721763,48.668281,77.505568,57.923497,67.887931,58.181816,17.563118,0,0,C21
45.821855,84.261501,85.077951,9.836066,42.241379,10.000002,27.332601,0,0,C45
45.821855,84.261501,85.077951,9.836066,42.241379,10.000002,27.332601,0,0,C45
24.793388,47.941889,76.169265,49.726776,73.060344,53.636361,17.12404,0,0,C20
25.895317,60.048426,75.501114,56.830601,63.577586,53.636361,16.575193,0,0,C26
45.684114,72.639225,85.523385,23.497268,42.025863,15.454544,29.198683,0,0,?
26.216712,48.42615,76.391982,49.180327,67.672414,56.363635,18.441273,0,85.714285,C19
66.666667,78.934624,82.405345,22.950819,37.931034,1.818181,30.07684,0,28.571428,?
