@relation glass-train

@attribute RI numeric
@attribute Na numeric
@attribute Mg numeric
@attribute Al numeric
@attribute Si numeric
@attribute K numeric
@attribute Ca numeric
@attribute Ba numeric
@attribute Fe numeric
@attribute cluster {C00,C01,C02,C03}

@data
40.679522,70.460048,100,44.262295,42.456896,5.454548,18.331505,0,0,?
18.503214,67.79661,79.064588,68.306011,68.534482,35.454543,7.683865,0,0,C01
25.298439,60.048426,82.182628,54.644809,60.344827,51.818181,12.513722,0,0,C01
24.19651,61.501211,80.623608,51.912569,70.474138,50,10.867179,0,0,C01
17.493112,49.878935,80.400891,72.677596,68.103448,58.181816,10.867179,0,74.285714,C00
24.839302,58.595641,80.400891,41.530054,73.922414,51.818181,12.733261,0,0,C01
32.277318,80.145279,79.732739,59.016394,48.922413,50.909088,13.391877,0,0,?
16.34527,48.184019,77.060134,69.398907,73.060344,60.90909,11.086719,0,68.571429,C00
24.471992,51.57385,79.287305,53.551912,73.275862,49.090907,14.270034,0,48.571428,C02
25.160697,45.520582,79.955457,55.737705,75,52.727274,15.587268,0,0,C01
25.06887,50.363195,78.841871,51.36612,73.922414,52.727274,14.379803,0,0,C01
26.124885,47.215496,81.737194,47.540984,71.120689,55.454542,17.782657,0,0,C01
45.041322,87.893462,85.746102,32.786886,33.405172,13.636364,22.722284,0,0,?
31.955922,76.755448,83.073497,48.63388,49.784483,5.454548,19.868277,0,0,?
34.481175,97.820824,83.518931,0,47.629311,2.727274,21.075742,0,0,?
23.921028,49.636805,80.623608,54.644809,64.224138,53.636361,17.782657,0,0,C01
24.609733,50.363195,79.510022,57.923497,69.181035,56.363635,16.575193,0,0,C01
23.18641,64.164649,77.951002,46.994535,65.517241,45.454545,14.818881,0,0,C01
25.206611,54.479418,78.841871,50.273224,68.75,59.090909,15.916576,0,0,C01
26.538108,60.048426,77.505568,61.202186,60.991379,53.636361,14.818881,0,0,C01
23.232323,51.815981,77.505568,56.830601,69.612068,50.909088,14.818881,0,0,C01
25.390266,44.309927,78.396437,62.295082,71.982758,51.818181,16.026345,0,0,C01
26.124885,56.900727,77.728285,54.09836,65.732759,54.545455,15.477498,0,0,C01
24.426079,51.089588,77.951002,46.448088,74.568965,50.909088,16.136115,0,0,C01
25.711662,51.331719,77.505568,51.36612,68.103448,55.454542,16.245884,2.857143,62.857143,C00
24.701561,44.552058,77.282851,59.562841,77.155172,54.545455,16.136115,0,17.142857,?
26.078971,47.457627,78.841871,57.377048,67.672414,51.818181,18.331505,0,0,C01
31.864095,76.513317,78.619154,56.284152,43.103449,46.363633,18.660813,3.492063,0,C01
26.721763,48.668281,77.505568,57.923497,67.887931,58.181816,17.563118,0,0,C01
45.821855,84.261501,85.077951,9.836066,42.241379,10.000002,27.332601,0,0,?
45.821855,84.261501,85.077951,9.836066,42.241379,10.000002,27.332601,0,0,?
