1,93.16033122959252,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 8.0],ClusterByConnectiveness[DISTANCE:BRAYCURTIS,DBSCAN_MAX_DIST - 8.0,DBSCAN_NUM_PTS - 3.6666667],}
2,96.56576830529559,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:EUCLIDEAN,CLIQUE_SLICES - 30.0,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],}
3,96.56576830529559,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:EUCLIDEAN,CLIQUE_SLICES - 30.0,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],}
4,96.56576830529559,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:EUCLIDEAN,CLIQUE_SLICES - 30.0,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],}
5,97.01525780530051,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:CHEBYCHEV,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:BRAYCURTIS,DESCRY_DENSITY - 5.0,DESCRY_K - 5.5555553],}
6,97.01525780530051,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:CHEBYCHEV,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:BRAYCURTIS,DESCRY_DENSITY - 5.0,DESCRY_K - 5.5555553],}
7,97.01525780530051,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:CHEBYCHEV,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:BRAYCURTIS,DESCRY_DENSITY - 5.0,DESCRY_K - 5.5555553],}
8,97.01525780530051,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:CHEBYCHEV,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:BRAYCURTIS,DESCRY_DENSITY - 5.0,DESCRY_K - 5.5555553],}
9,97.01525780530051,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:CHEBYCHEV,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:BRAYCURTIS,DESCRY_DENSITY - 5.0,DESCRY_K - 5.5555553],}
10,97.01525780530051,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:CHEBYCHEV,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:BRAYCURTIS,DESCRY_DENSITY - 5.0,DESCRY_K - 5.5555553],}
11,97.01525780530051,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:CHEBYCHEV,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:BRAYCURTIS,DESCRY_DENSITY - 5.0,DESCRY_K - 5.5555553],}
12,97.01525780530051,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:CHEBYCHEV,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:BRAYCURTIS,DESCRY_DENSITY - 5.0,DESCRY_K - 5.5555553],}
13,97.01525780530051,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:CHEBYCHEV,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:BRAYCURTIS,DESCRY_DENSITY - 5.0,DESCRY_K - 5.5555553],}
14,97.01525780530051,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:CHEBYCHEV,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:BRAYCURTIS,DESCRY_DENSITY - 5.0,DESCRY_K - 5.5555553],}
15,97.01525780530051,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:CHEBYCHEV,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:BRAYCURTIS,DESCRY_DENSITY - 5.0,DESCRY_K - 5.5555553],}
16,97.01525780530051,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:CHEBYCHEV,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:BRAYCURTIS,DESCRY_DENSITY - 5.0,DESCRY_K - 5.5555553],}
17,97.01525780530051,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:CHEBYCHEV,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:BRAYCURTIS,DESCRY_DENSITY - 5.0,DESCRY_K - 5.5555553],}
18,97.01525780530051,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:CHEBYCHEV,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:BRAYCURTIS,DESCRY_DENSITY - 5.0,DESCRY_K - 5.5555553],}
19,97.01525780530051,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:CHEBYCHEV,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:BRAYCURTIS,DESCRY_DENSITY - 5.0,DESCRY_K - 5.5555553],}
