@relation Synthetic-1-weka.filters.unsupervised.instance.Resample-S1-Z60.0-no-replacement

@attribute X REAL
@attribute Y REAL
@attribute cluster {C00,C01,C02,C03}

@data
0.8459,0.256044,C01
0.189501,0.177991,C00
0.762928,0.114884,C01
0.19872,0.066724,C00
0.890152,0.792449,C02
0.047527,0.654611,C03
0.195033,0.129831,C00
0.230065,0.692807,C03
0.137874,0.935269,C03
0.152625,0.038492,C00
0.090909,0,C00
0.227273,0,C00
0.772148,0.382257,C01
0.910434,0.634683,C02
0.919653,0.216187,C01
0.917809,0.72436,C02
0.075184,0.644647,C03
0.036464,0.759235,C03
0.045455,0,C00
0.773991,0.242758,C01
0.069653,0.073367,C00
0.978655,0.912019,C02
0.178438,0.307525,C00
0.83115,0.943572,C02
0.113905,0.106581,C00
0.895683,0.159723,C01
0.866182,0.847252,C02
0.021714,0.868841,C03
0.071497,0.857216,C03
0.875401,0.330775,C01
0.777679,0.792449,C02
0.095466,0.045135,C00
0.973124,0.897073,C02
0.799805,0.083331,C01
0.113905,0.344061,C00
0.158156,0.15142,C00
0.230065,0.745949,C03
0.844056,0.287597,C01
0.770304,0.621397,C02
0.056746,0.606451,C03
0.181818,0.4,C00
0.110217,0.684503,C03
0.772148,0.005278,C01
0.089935,0.935269,C03
0.09731,0.980107,C03
0,0.141456,C00
0.923341,0.134813,C01
0.027245,0.236115,C00
0.03462,0.372292,C00
0.923341,0.398864,C01
0.834837,0.870501,C02
0.049371,0.709414,C03
0.79243,0.251062,C01
0.915965,0.666236,C02
0.032777,0.634683,C03
0.984187,0.171348,C01
0.770304,0.035171,C01
0.187657,0.777502,C03
0.161844,0.687825,C03
0.877245,0.888769,C02
0.877245,0.111563,C01
0.169219,0.060081,C00
0.938091,0.878805,C02
0.842213,0.877144,C02
0.054902,0.138134,C00
0.056746,0.17633,C00
0.143406,0.975125,C03
0.810868,0.261026,C01
0.952842,0.998375,C02
0.069653,0.036832,C00
0.095466,0.704432,C03
0.86987,0.740967,C02
0.204252,0.739306,C03
0.102842,0.070046,C00
0.794273,0.315829,C01
0.115748,0.050117,C00
0.810868,0.337418,C01
0.180282,0.139795,C00
0.090909,0.1,C00
0.899371,0.837288,C02
0.818243,0.727682,C02
0.156312,0.792449,C03
0.853275,0.91368,C02
0.980499,0.850573,C02
0.856963,0.828984,C02
0.838525,0.764217,C02
0.193189,0.352364,C00
0.88462,0,C01
0.08256,0.893751,C03
0.003275,0.27099,C00
0.056746,0.156402,C00
0.803492,0.36731,C01
0.847744,0.164705,C01
0.137874,0.111563,C00
0.132343,0.025207,C00
0.027245,0.274311,C00
0.123124,0.163045,C00
0.08256,0.317489,C00
0.080716,0.965161,C03
0.805336,0.206223,C01
0.954685,0.108242,C01
0.79243,0.692807,C02
0.040152,0.908697,C03
0.936247,0.289258,C01
0.053059,0.354025,C00
0.045455,0.1,C00
0.191345,0.29424,C00
0.113905,0.159723,C00
0.078872,0.727682,C03
0.915965,0.800752,C02
0.161844,0.196259,C00
0.880933,0.083331,C01
0.93256,0.211205,C01
0.897527,0.262686,C01
0.025401,0.721039,C03
0.136364,0.3,C00
0.939935,0.787467,C02
0.80718,0.043474,C01
0.065965,0.785806,C03
0.178438,0.654611,C03
0.950998,0.878805,C02
0.117592,0.242758,C00
0.106529,0.785806,C03
0.227273,0.1,C00
0.185813,0.868841,C03
0.772148,0.063403,C01
0.012495,0.646307,C03
0.855119,0.335757,C01
0.171063,0.241097,C00
0.897527,0.028528,C01
0.189501,0.872162,C03
0.770304,0.98675,C02
0.215315,0.858877,C03
0.838525,0.011921,C01
0.891996,0.352364,C01
0.084403,0.261026,C00
0.868026,0.217848,C01
0.958373,0.108242,C01
0.871714,0.726021,C02
0.98603,0.214526,C01
0.204252,0.025207,C00
0.143406,0.141456,C00
0.145249,0.77086,C03
0.227273,0.4,C00
0.882777,0.297561,C01
0.849588,0.995054,C02
0.877245,0.606451,C02
0.215315,0.900394,C03
0.095466,0.209544,C00
0.952842,0.073367,C01
0.814555,0.865519,C02
0.209783,0.996714,C03
0.903059,0.174669,C01
0.089935,0.614754,C03
0.156312,0.098277,C00
0.888308,0.955197,C02
0.927028,0.053439,C01
0.851432,0.96184,C02
0.182126,0.631361,C03
0.832993,0.664575,C02
0.207939,0.744289,C03
0.978655,0.677861,C02
0.01987,0.807395,C03
0.836681,0.359007,C01
0.115748,0.862198,C03
0.956529,0.362328,C01
0.80718,0.96184,C02
0.923341,0.372292,C01
0.829306,0.322472,C01
0.043839,0.936929,C03
0.80718,0.141456,C01
0.071497,0.202901,C00
0.065965,0.921983,C03
0.113905,0.789127,C03
0.119436,0.651289,C03
0.124967,0.745949,C03
0.132343,0.207883,C00
0.838525,0.679521,C02
0.115748,0.285936,C00
0.01987,0.898733,C03
0.912278,0.362328,C01
0.934403,0.757574,C02
0.161844,0.352364,C00
0.838525,0.692807,C02
0.877245,0.744289,C02
0.172907,0.249401,C00
0.016182,0.202901,C00
0.917809,0.888769,C02
0.928872,0.084992,C01
0.215315,0.707753,C03
0.79243,0.601469,C02
0.112061,0.89043,C03
0.062278,0.882126,C03
0.139718,0.714396,C03
0.805336,0.274311,C01
0.88462,0.837288,C02
0.912278,0.211205,C01
0.825618,0.712735,C02
0.90859,0.682843,C02
0.770304,0.908697,C02
0.877245,0.020225,C01
0.065965,0.742628,C03
0.13603,0.77086,C03
0.150781,0.636343,C03
0.862495,0.815698,C02
0.866182,0.186294,C01
0.875401,0.787467,C02
0.950998,0.267669,C01
0.023557,0.9635,C03
0.954685,0.626379,C02
0.187657,0.833966,C03
0.158156,0.644647,C03
0.810868,0.787467,C02
0.172907,0.805734,C03
0.860651,0.65295,C02
0.05859,0.774181,C03
0.01987,0.169687,C00
0.211627,0.779163,C03
0.943623,0.677861,C02
0.099154,0.164705,C00
0.773991,0.731003,C02
0.934403,0.168027,C01
0,0.373953,C00
0.023557,0.878805,C03
0.853275,0.398864,C01
0.100998,0.639665,C03
0.145249,0.252722,C00
0.123124,0.3424,C00
0.147093,0.659593,C03
0.141562,0.77086,C03
0.94731,0.923644,C02
0.949154,0.754253,C02
0.187657,0.692807,C03
0.965748,0.953536,C02
0.102842,0.133152,C00
0,0.3,C00
0.773991,0.332436,C01
0.805336,0.086653,C01
0.045455,0.2,C00
0.842213,0.870501,C02
0.899371,0.777502,C02
0.877245,0.239437,C01
0.22269,0.332436,C00
0.93256,0.65295,C02
0.180282,0.101599,C00
0.181818,0.3,C00
0.936247,0.973465,C02
0.023557,0.154741,C00
0.801649,0.669557,C02
0.167375,0.133152,C00
0.18397,0.035171,C00
0.773991,0.212866,C01
0.136364,0.1,C00
0.820087,0.852234,C02
0.873557,0.370632,C01
0.102842,0.378935,C00
0.873557,0.133152,C01
0.766616,0.662914,C02
0.091779,0.764217,C03
0.224534,0.950215,C03
0.770304,0.863859,C02
0.893839,0.998375,C02
0.987874,0.254383,C01
0.770304,0.955197,C02
0.128655,0.267669,C00
0.215315,0.832305,C03
0.049371,0.857216,C03
0.215315,0.848912,C03
0.211627,0.182973,C00
0.075184,0.696128,C03
0.775835,0.118206,C01
0.939935,0.334096,C01
0.888308,0.96184,C02
0.83115,0.812377,C02
0.010651,0.684503,C03
0.891996,0.633022,C02
0.108373,0.882126,C03
0.172907,0.173009,C00
0.093623,0.334096,C00
0.171063,0.29424,C00
0.927028,0.035171,C01
0.814555,0.646307,C02
0.008807,0.917001,C03
0.126811,0.990072,C03
0.145249,0.236115,C00
0.154469,0.023546,C00
0.047527,0.838948,C03
0.891996,0.070046,C01
0.19872,0.832305,C03
0.978655,0.737646,C02
0.158156,0.804074,C03
0.148937,0.320811,C00
0.045455,0.4,C00
0.880933,0.10326,C01
0.014338,0.659593,C03
0.169219,0.996714,C03
0.90859,0.706092,C02
0.172907,0.752592,C03
0.934403,0.194598,C01
0.077028,0.239437,C00
0.227273,0.3,C00
0.136364,0.4,C00
0.224534,0.905376,C03
0.008807,0.988411,C03
0.777679,0.815698,C02
0.871714,0.910358,C02
0.021714,0.084992,C00
0.991562,0.363989,C01
0.128655,0.727682,C03
0.915965,0.613093,C02
0.141562,0.956858,C03
0.906746,0.08167,C01
0.202408,0.599808,C03
0.089935,0.05676,C00
0.13603,0.3424,C00
0.930716,0.274311,C01
0.821931,0.877144,C02
0.027245,0.777502,C03
0.051215,0.731003,C03
0.891996,0.397203,C01
0.139718,0.711075,C03
0.089935,1,C03
0.088091,0.672879,C03
0.897527,0.98675,C02
0,0.4,C00
0.879089,0.711075,C02
0.102842,0.800752,C03
0.825618,0.098277,C01
0.797961,0.211205,C01
0.849588,0.971804,C02
0.163688,0.940251,C03
0.973124,0.601469,C02
0.018026,0.325793,C00
0.207939,0.24774,C00
0.054902,0.207883,C00
0.939935,0.990072,C02
0.797961,0.822341,C02
0.189501,0.91534,C03
0.19872,0.287597,C00
0.182126,0.378935,C00
0.078872,0.787467,C03
0.209783,0.664575,C03
0.987874,0.12817,C01
0.941779,0.755913,C02
0.038308,0.266008,C00
0,0,C00
0.158156,0.073367,C00
0.797961,0.89043,C02
0.056746,0.682843,C03
0.917809,0.10326,C01
0.821931,0.639665,C02
0.891996,0.757574,C02
0.213471,0.144777,C00
