Attribute1,Attribute2,Cluster
0.797961,0.211205,C2
0.897527,0.262686,C2
0.772148,0.382257,C2
0.762928,0.114884,C2
0.79243,0.251062,C2
0.934403,0.194598,C2
0.873557,0.133152,C2
0.917809,0.10326,C2
0.936247,0.289258,C2
0.912278,0.362328,C2
0.882777,0.297561,C2
0.805336,0.206223,C2
0.956529,0.362328,C2
0.952842,0.073367,C2
0.903059,0.174669,C2
0.770304,0.035171,C2
0.810868,0.261026,C2
0.853275,0.398864,C2
0.928872,0.084992,C2
0.847744,0.164705,C2
0.897527,0.028528,C2
0.987874,0.254383,C2
0.934403,0.168027,C2
0.930716,0.274311,C2
0.855119,0.335757,C2
0.805336,0.086653,C2
0.772148,0.063403,C2
0.829306,0.322472,C2
0.927028,0.053439,C2
0.80718,0.141456,C2
0.8459,0.256044,C2
0.875401,0.330775,C2
0.984187,0.171348,C2
0.923341,0.398864,C2
0.98603,0.214526,C2
0.799805,0.083331,C2
0.88462,0,C2
0.991562,0.363989,C2
0.868026,0.217848,C2
0.927028,0.035171,C2
0.891996,0.352364,C2
0.794273,0.315829,C2
0.939935,0.334096,C2
0.836681,0.359007,C2
0.912278,0.211205,C2
0.803492,0.36731,C2
0.877245,0.111563,C2
0.866182,0.186294,C2
0.880933,0.083331,C2
0.93256,0.211205,C2
0.923341,0.372292,C2
0.773991,0.212866,C2
0.950998,0.267669,C2
0.906746,0.08167,C2
0.873557,0.370632,C2
0.919653,0.216187,C2
0.877245,0.239437,C2
0.825618,0.098277,C2
0.891996,0.070046,C2
0.773991,0.242758,C2
0.775835,0.118206,C2
0.880933,0.10326,C2
0.810868,0.337418,C2
0.958373,0.108242,C2
0.773991,0.332436,C2
0.772148,0.005278,C2
0.923341,0.134813,C2
0.844056,0.287597,C2
0.895683,0.159723,C2
0.891996,0.397203,C2
0.80718,0.043474,C2
0.805336,0.274311,C2
0.877245,0.020225,C2
0.954685,0.108242,C2
0.838525,0.011921,C2
0.987874,0.12817,C2
0.156312,0.098277,C3
0.132343,0.207883,C3
0.021714,0.084992,C3
0.102842,0.133152,C3
0.054902,0.207883,C3
0.180282,0.139795,C3
0.113905,0.106581,C3
0.113905,0.159723,C3
0.227273,0.1,C3
0.154469,0.023546,C3
0.158156,0.15142,C3
0.056746,0.156402,C3
0.045455,0.2,C3
0.213471,0.144777,C3
0.123124,0.163045,C3
0.19872,0.066724,C3
0.090909,0.1,C3
0.071497,0.202901,C3
0.211627,0.182973,C3
0.023557,0.154741,C3
0.056746,0.17633,C3
0.158156,0.073367,C3
0.045455,0,C3
0,0.141456,C3
0,0,C3
0.089935,0.05676,C3
0.016182,0.202901,C3
0.169219,0.060081,C3
0.136364,0.1,C3
0.132343,0.025207,C3
0.143406,0.141456,C3
0.172907,0.173009,C3
0.227273,0,C3
0.102842,0.070046,C3
0.167375,0.133152,C3
0.115748,0.050117,C3
0.069653,0.073367,C3
0.137874,0.111563,C3
0.161844,0.196259,C3
0.095466,0.045135,C3
0.099154,0.164705,C3
0.180282,0.101599,C3
0.069653,0.036832,C3
0.204252,0.025207,C3
0.152625,0.038492,C3
0.054902,0.138134,C3
0.189501,0.177991,C3
0.195033,0.129831,C3
0.18397,0.035171,C3
0.090909,0,C3
0.045455,0.1,C3
0.01987,0.169687,C3
0.075184,0.696128,C4
0.075184,0.644647,C4
0.182126,0.631361,C4
0.211627,0.779163,C4
0.100998,0.639665,C4
0.230065,0.745949,C4
0.209783,0.664575,C4
0.178438,0.654611,C4
0.172907,0.752592,C4
0.113905,0.789127,C4
0.110217,0.684503,C4
0.158156,0.644647,C4
0.049371,0.709414,C4
0.145249,0.77086,C4
0.078872,0.727682,C4
0.078872,0.787467,C4
0.202408,0.599808,C4
0.124967,0.745949,C4
0.056746,0.606451,C4
0.065965,0.785806,C4
0.187657,0.692807,C4
0.147093,0.659593,C4
0.128655,0.727682,C4
0.215315,0.707753,C4
0.047527,0.654611,C4
0.161844,0.687825,C4
0.088091,0.672879,C4
0.014338,0.659593,C4
0.012495,0.646307,C4
0.065965,0.742628,C4
0.139718,0.714396,C4
0.095466,0.704432,C4
0.230065,0.692807,C4
0.051215,0.731003,C4
0.106529,0.785806,C4
0.05859,0.774181,C4
0.025401,0.721039,C4
0.036464,0.759235,C4
0.172907,0.805734,C4
0.091779,0.764217,C4
0.102842,0.800752,C4
0.141562,0.77086,C4
0.139718,0.711075,C4
0.13603,0.77086,C4
0.010651,0.684503,C4
0.158156,0.804074,C4
0.187657,0.777502,C4
0.089935,0.614754,C4
0.207939,0.744289,C4
0.027245,0.777502,C4
0.156312,0.792449,C4
0.150781,0.636343,C4
0.056746,0.682843,C4
0.032777,0.634683,C4
0.204252,0.739306,C4
0.119436,0.651289,C4
0.01987,0.807395,C5
0.040152,0.908697,C5
0.080716,0.965161,C5
0.008807,0.988411,C5
0.023557,0.878805,C5
0.215315,0.858877,C5
0.185813,0.868841,C5
0.137874,0.935269,C5
0.049371,0.857216,C5
0.089935,0.935269,C5
0.08256,0.893751,C5
0.008807,0.917001,C5
0.215315,0.900394,C5
0.062278,0.882126,C5
0.224534,0.905376,C5
0.021714,0.868841,C5
0.09731,0.980107,C5
0.043839,0.936929,C5
0.01987,0.898733,C5
0.187657,0.833966,C5
0.047527,0.838948,C5
0.189501,0.91534,C5
0.163688,0.940251,C5
0.189501,0.872162,C5
0.215315,0.832305,C5
0.215315,0.848912,C5
0.141562,0.956858,C5
0.209783,0.996714,C5
0.169219,0.996714,C5
0.224534,0.950215,C5
0.071497,0.857216,C5
0.143406,0.975125,C5
0.112061,0.89043,C5
0.126811,0.990072,C5
0.19872,0.832305,C5
0.023557,0.9635,C5
0.065965,0.921983,C5
0.108373,0.882126,C5
0.115748,0.862198,C5
0.089935,1,C5
0.773991,0.731003,C6
0.818243,0.727682,C6
0.879089,0.711075,C6
0.814555,0.865519,C6
0.965748,0.953536,C6
0.973124,0.897073,C6
0.838525,0.679521,C6
0.936247,0.973465,C6
0.891996,0.633022,C6
0.877245,0.606451,C6
0.825618,0.712735,C6
0.875401,0.787467,C6
0.79243,0.601469,C6
0.856963,0.828984,C6
0.838525,0.764217,C6
0.838525,0.692807,C6
0.770304,0.863859,C6
0.939935,0.787467,C6
0.888308,0.96184,C6
0.943623,0.677861,C6
0.79243,0.692807,C6
0.866182,0.847252,C6
0.820087,0.852234,C6
0.860651,0.65295,C6
0.797961,0.822341,C6
0.797961,0.89043,C6
0.952842,0.998375,C6
0.88462,0.837288,C6
0.915965,0.666236,C6
0.871714,0.910358,C6
0.849588,0.971804,C6
0.777679,0.792449,C6
0.851432,0.96184,C6
0.877245,0.888769,C6
0.853275,0.91368,C6
0.770304,0.908697,C6
0.915965,0.800752,C6
0.80718,0.96184,C6
0.941779,0.755913,C6
0.842213,0.877144,C6
