Attribute1,Attribute2,Attribute3,Attribute4,Cluster
24.541849,25.624832,58.678989,61.694966,C1
45.036399,34.512966,38.498296,30.557221,C1
39.540071,58.100847,35.455419,18.470971,C1
46.144514,35.88264,38.05016,41.504487,C1
26.55482,46.947126,64.729866,52.530572,C1
25.396969,24.512934,53.924518,41.508654,C1
43.4843,49.733704,62.245826,62.713501,C1
30.188591,24.618907,58.442904,58.654019,C1
44.128497,51.712616,41.185739,11.765016,C1
42.022183,21.157934,48.919381,28.064493,C1
39.608722,55.175633,41.690625,19.202165,C1
37.871675,43.973054,35.605105,28.735728,C1
49.905871,41.844133,49.233603,60.324247,C1
41.217705,32.782114,40.539647,33.786588,C1
46.401523,23.084466,32.792546,32.156226,C1
18.229616,5.304714,62.448357,60.324247,C1
41.571794,45.319104,42.645525,40.179642,C1
47.348765,34.238416,35.656408,30.1437,C1
25.497158,8.01447,57.958532,52.530572,C1
49.163222,52.939005,37.289478,41.335444,C1
46.333791,51.124355,55.584942,58.654019,C1
47.679875,38.83766,42.714879,38.376864,C1
41.081649,31.191001,56.684768,46.407125,C1
46.941429,29.387768,39.657722,40.587982,C1
21.547933,27.757036,62.113739,41.72044,C1
49.512265,53.128348,33.337155,25.442412,C1
47.983876,35.762007,48.649943,31.038658,C1
41.050904,29.519783,39.130092,42.822973,C1
38.069334,28.767218,62.097934,46.407125,C1
41.762028,48.036725,32.578115,31.76217,C1
41.012508,52.074072,52.052497,48.312671,C1
25.052935,35.095944,53.160937,54.680838,C1
39.362624,59.565902,61.166129,50.380306,C1
44.285368,28.863286,46.29903,24.825416,C1
46.797005,42.439941,57.296903,50.380306,C1
49.147315,59.593532,36.143076,53.69528,C1
43.050485,38.343577,61.11734,46.407125,C1
60.507865,64.088086,58.711789,43.366178,C1
48.140886,35.77107,33.47422,54.043319,C1
46.652014,35.983077,37.724374,23.099868,C1
38.57253,28.105784,43.002569,37.406384,C1
36.992115,22.924667,55.398786,44.736896,C1
40.001032,48.13924,37.233633,47.332569,C1
38.334511,38.315635,54.772421,43.366178,C1
26.609477,47.146278,56.855605,44.736896,C1
47.516044,36.51537,45.845782,40.230673,C1
43.966932,22.262336,41.4234,49.004473,C1
49.337926,38.071388,45.60916,36.973322,C1
44.82696,40.975586,47.465646,38.705692,C1
23.009811,31.883313,61.129156,44.736896,C1
52.835805,46.693436,54.976963,44.736896,C1
56.64355,63.781565,50.620549,63.340704,C1
52.121925,26.145018,64.20408,54.680838,C1
44.851577,24.80109,40.624957,30.995585,C1
39.482168,58.404435,33.469527,41.122258,C1
37.764011,19.295176,42.016579,38.124153,C1
39.984974,32.730222,44.546291,45.050745,C1
47.516611,40.72596,35.668039,20.421707,C1
41.321455,29.922774,35.075865,37.88759,C1
40.199496,20.500114,39.652291,23.136913,C1
59.757652,68.39804,60.137535,60.324247,C1
46.467405,31.575455,41.188923,41.514297,C1
41.553294,45.718108,34.530922,48.676681,C1
32.859767,33.512219,62.590267,48.312671,C1
48.849014,54.812845,40.847366,56.975259,C1
40.256556,25.499306,48.098111,18.065905,C1
41.306126,37.177253,38.343783,23.763784,C1
41.984995,30.264336,64.142184,58.654019,C1
42.005823,20.485402,36.636833,46.488555,C1
37.914489,21.194186,62.571596,52.530572,C1
49.153557,51.624885,39.26823,44.12939,C1
48.741677,52.599707,36.961296,36.704475,C1
46.998338,31.168042,53.287762,56.748472,C1
41.57674,45.711268,45.16503,35.687031,C1
59.783124,71.920824,62.742182,60.324247,C1
41.421643,37.532811,32.659436,36.632006,C1
32.0681,32.962214,59.17883,42.347642,C1
39.413127,30.988377,46.627498,50.443825,C1
37.696984,57.92619,44.425215,50.298666,C1
46.989252,45.630458,41.206321,38.153317,C1
18.474669,23.298627,54.346827,44.736896,C1
39.557892,40.373563,36.41062,49.788726,C1
51.549726,63.065563,57.07426,50.380306,C1
42.748359,61.572133,41.829434,25.711809,C1
48.52528,34.360749,43.936234,31.072088,C1
48.666596,35.530927,45.529633,54.869246,C1
42.846207,39.177721,34.02203,41.833392,C1
48.247002,31.213144,47.367531,56.953601,C1
39.817858,21.023731,48.982065,32.398465,C1
41.991313,35.790492,58.949215,60.324247,C1
46.321508,28.436449,37.025739,53.20961,C1
46.126366,37.538737,44.05612,30.9868,C1
45.186587,51.164876,45.265893,22.989847,C1
18.025778,27.232188,54.458065,44.736896,C1
19.998704,14.27418,65.184036,42.347642,C1
49.224523,41.374883,39.065682,28.049481,C1
31.31391,17.450226,63.749524,63.340704,C1
41.72893,45.280185,34.592751,47.814932,C1
39.079136,41.396547,63.624074,62.713501,C1
45.534523,39.799319,35.050222,30.398792,C1
54.96301,64.936868,64.736353,48.312671,C1
45.258938,22.129713,44.685569,34.004888,C1
45.956357,33.065256,44.305563,38.119557,C1
42.526298,22.370917,37.448215,33.293434,C1
36.50645,14.347565,49.787161,52.530572,C1
38.212941,46.764115,49.557646,42.347642,C1
36.531909,48.199136,61.880972,52.530572,C1
51.810033,64.308335,61.163934,62.713501,C1
40.837237,59.62243,52.617301,43.366178,C1
47.241064,40.254964,44.922392,26.431981,C1
44.642327,29.830447,48.856128,32.782116,C1
37.270745,19.795667,47.475467,36.998397,C1
42.580803,45.917693,43.093829,46.565521,C1
43.567864,59.943577,39.127159,27.096096,C1
39.411567,37.295571,34.573158,37.416359,C1
49.439285,32.782295,54.843434,60.324247,C1
35.852852,44.283609,65.599674,52.530572,C1
65.367898,56.954457,52.666241,48.312671,C1
22.193414,16.525294,62.343455,41.508654,C1
29.561963,26.134332,63.181284,42.347642,C1
49.44778,58.58103,43.782559,43.36761,C1
43.607884,50.888353,50.043392,42.347642,C1
63.672659,60.567148,50.930765,56.748472,C1
39.682155,49.91511,32.573205,32.33833,C1
48.599405,23.720605,39.744959,51.494545,C1
40.163365,18.877016,45.149678,0,C1
52.292577,42.137773,62.76035,62.713501,C1
22.477582,42.207735,63.259555,60.324247,C1
47.487451,49.532422,63.417436,46.407125,C1
46.950163,63.662385,32.741528,46.470864,C1
41.055938,55.767948,64.813919,42.347642,C1
34.513854,54.978474,58.31633,52.530572,C1
48.300727,25.360547,46.389318,44.338212,C1
38.154698,22.270003,37.286562,49.653686,C1
44.906195,56.53289,49.765909,43.366178,C1
38.755313,55.315175,43.934725,44.576913,C1
34.118687,25.671157,55.48666,58.654019,C1
37.906913,33.950989,39.867225,42.796675,C1
42.29398,28.467329,39.870862,47.017463,C1
32.792337,31.066693,64.354704,63.55249,C1
45.746428,52.917772,51.199365,63.340704,C1
45.968967,25.829751,57.482205,44.736896,C1
49.54301,58.220478,44.26554,31.036762,C1
48.207775,51.814059,43.319104,33.771477,C1
41.178515,57.209521,44.807466,28.530003,C1
44.04336,26.896679,47.238209,23.237631,C1
31.021789,51.6592,65.730388,63.55249,C1
46.745759,21.13296,52.690325,44.736896,C1
47.566157,29.864611,39.012954,39.893557,C1
45.541897,61.380082,52.666744,48.312671,C1
45.388147,38.472682,52.837196,60.324247,C1
44.091724,33.36134,42.567992,24.054598,C1
40.076491,57.372845,44.018527,23.83816,C1
34.484707,46.941049,61.587114,61.694966,C1
41.497719,45.563502,33.411302,37.503586,C1
48.357296,39.078634,46.092711,36.885323,C1
36.970293,23.984702,59.764183,63.340704,C1
38.240779,49.636905,33.736636,11.78016,C1
49.151594,27.118455,34.541481,32.056356,C1
41.939085,53.158206,56.707511,43.366178,C1
44.1196,56.537668,43.107841,26.979087,C1
25.426569,13.872006,62.571227,54.680838,C1
47.513087,29.031394,43.924049,48.279286,C1
48.032567,64.672311,38.564952,49.866387,C1
29.502675,17.248563,65.584406,41.508654,C1
13.476416,41.264967,65.232859,58.654019,C1
37.559909,39.51017,38.531146,50.43579,C1
44.717019,44.188946,49.16378,40.193574,C1
38.165382,22.611898,41.85253,44.705495,C1
31.421398,31.253231,51.423768,41.72044,C1
45.427601,38.254831,36.681382,49.839207,C1
