Generation_1,Generation_2,Generation_3,Generation_4,Generation_5,Generation_6,Generation_7,Generation_8,Generation_9,Generation_10
ClustersByAttractors,AdaptableKDTree->MergeByDistance,AdaptableKDTree->MergeByOverlap,AdaptableKDTree->MergeByDistance,AdaptableKDTree->MergeByDistance,AdaptableKDTree->MergeByDistance,AdaptableKDTree->MergeByDistance,AdaptableKDTree->MergeByDistance,AdaptableKDTree->MergeByOverlap,AdaptableKDTree->MergeByDistance
Equally Sized Grid->AMRTree->MergeByDistance,AdaptableKDTree->MergeByDistance,AdaptableKDTree->MergeByDistance,AdaptableKDTree->MergeByOverlap,AdaptableKDTree->MergeByDistance,AdaptableKDTree->MergeByDistance,AdaptableKDTree->MergeByDistance,AdaptableKDTree->MergeByOverlap,AdaptableKDTree->MergeByOverlap,AdaptableKDTree->MergeByDistance
ClustersByAttractors,AdaptableKDTree->MergeByDistance,AdaptableKDTree->MergeByDistance,AdaptableKDTree->MergeByDistance,AdaptableKDTree->MergeByDistance,AdaptableKDTree->MergeByOverlap,AdaptableKDTree->MergeByDistance,AdaptableKDTree->MergeByOverlap,AdaptableKDTree->MergeByOverlap,AdaptableKDTree->MergeByDistance
AttractionTree->DensityTree,AdaptableKDTree->MergeByDistance,AdaptableKDTree->MergeByDistance,AdaptableKDTree->MergeByDistance,AdaptableKDTree->MergeByDistance,AdaptableKDTree->MergeByDistance,AdaptableKDTree->MergeByOverlap,AdaptableKDTree->MergeByOverlap,CandidatesByNpts->ClustersByDistribution,CandidatesByNpts->ClustersByDistribution
CandidatesBySNN->ClustersByDistribution,CandidatesByNpts->ClustersByDistribution,AdaptableKDTree->MergeByOverlap,CandidatesByNpts->ClustersByDistribution,CandidatesByNpts->ClustersByDistribution,AdaptableKDTree->MergeByDistance,CandidatesByNpts->ClustersByDistribution,AdaptableKDTree->MergeByDistance,CandidatesByNpts->ClustersByDistribution,CandidatesByNpts->ClustersByDistribution
CandidatesByNpts->ClustersByDistribution,CandidatesByNpts->ClustersByDistribution,AdaptableKDTree->MergeByOverlap,CandidatesByNpts->ClustersByDistribution,ASH->ClustersByDistribution,CandidatesByNpts->ClustersByDistribution,CandidatesByNpts->ClustersByDistribution,AdaptableKDTree->MergeByOverlap,ASH->ClustersByDistribution,AttractionTree->DensityTree
CandidatesBySNN->ClustersByDistribution,CandidatesByNpts->ClustersByDistribution,CandidatesByNpts->ClustersByDistribution,CandidatesByNpts->ClustersByDistribution,ASH->ClustersByDistribution,CandidatesByNpts->ClustersByDistribution,CandidatesByNpts->ClustersByDistribution,CandidatesByNpts->ClustersByDistribution,CandidatesByDistance->ClusterByConnectiveness,CandidatesBySNN->ClusterByConnectiveness
Equally Sized Grid->AMRTree->ClustersAMR,ASH->ClustersByDistribution,ASH->ClustersByDistribution,CandidatesByNpts->ClustersByDistribution,ASH->ClustersByDistribution,CandidatesByNpts->ClustersByDistribution,ASH->ClustersByDistribution,CandidatesByNpts->ClustersByDistribution,AttractionTree->DensityTree,CandidatesBySNN->ClusterByConnectiveness
AttractionTree->DensityTree,Equally Sized Grid->AMRTree->ClustersAMR,DenseAreas->ClusterByPartition,CandidatesByDistance->ClusterByConnectiveness,ASH->ClustersByDistribution,CandidatesByNpts->ClustersByDistribution,ClustersByAttractors,CandidatesByNpts->ClustersByDistribution,Equally Sized Grid->AMRTree->MergeByOverlap,AttractionTree->DensityTree
Equally Sized Grid->AMRTree->ClustersAMR,AdaptableKDTree->ClustersAMR,CandidatesByDistance->ClustersByDistribution,DenseAreas->ClustersByAttractors,CandidatesByDistance->ClustersByDistribution,ASH->ClustersByDistribution,CandidatesByNpts->ClusterByConnectiveness,CandidatesByNpts->ClustersByDistribution,CandidatesByNpts->ClusterByConnectiveness,ClustersByAttractors
DenseAreas->ClustersByAttractors,CandidatesByDistance->ClustersByDistribution,Equally Sized Grid->AMRTree->ClustersAMR,Equally Sized Grid->AMRTree->MergeByDistance,CandidatesByNpts->ClusterByConnectiveness,Equally Sized Grid->AMRTree->ClustersAMR,CandidatesByDistance->ClusterByConnectiveness,ASH->ClustersByDistribution,ASH->ClustersByAttractors,Equally Sized Grid->AMRTree->MergeByDistance
DenseAreas->ClusterByPartition,CandidatesBySNN->MergeByDistance,DenseAreas->ClusterByPartition,AttractionTree->DensityTree,CandidatesByNpts->ClusterByConnectiveness,CandidatesByDistance->ClustersByDistribution,CandidatesByDistance->ClustersByDistribution,ASH->ClustersByDistribution,ASH->AttractionTree->DensityTree,CandidatesByDistance->ClusterByConnectiveness
CandidatesBySNN->MergeByOverlap,DenseAreas->AMRTree->MergeByDistance,DenseAreas->AMRTree->MergeByDistance,Equally Sized Grid->AMRTree->ClustersAMR,CandidatesByDistance->ClustersByDistribution,CandidatesByDistance->ClusterByConnectiveness,DenseAreas->ClustersByAttractors,Equally Sized Grid->AMRTree->MergeByDistance,Equally Sized Grid->AMRTree->MergeByOverlap,ClustersByAttractors
CandidatesByDistance->ClustersByDistribution,AttractionTree->DensityTree,Equally Sized Grid->AMRTree->MergeByDistance,AttractionTree->DensityTree,CandidatesBySNN->ClustersByDistribution,ClustersByAttractors,Equally Sized Grid->AMRTree->MergeByDistance,CandidatesByDistance->ClusterByConnectiveness,Equally Sized Grid->AMRTree->MergeByOverlap,DenseAreas->AMRTree->ClustersAMR
CandidatesBySNN->SNNByConnectiveness,CandidatesByDistance->ClustersByDistribution,AttractionTree->DensityTree,DenseAreas->ClustersByAttractors,AdaptableKDTree->ClustersAMR,ClustersByAttractors,Equally Sized Grid->AMRTree->ClustersAMR,ClustersByAttractors,CandidatesBySNN->MergeByOverlap,ASH->AttractionTree->DensityTree
DenseAreas->ClustersByAttractors,CandidatesByDistance->ClusterByConnectiveness,ClustersByAttractors,ClustersByAttractors,CandidatesBySNN->ClustersByDistribution,Equally Sized Grid->AMRTree->MergeByOverlap,AdaptableKDTree->ClustersAMR,ASH->AttractionTree->DensityTree,ClustersByAttractors,AdaptableKDTree->ClustersAMR
CandidatesByNpts->ClustersByDistribution,ClustersByAttractors,ASH->AttractionTree->DensityTree,ASH->AttractionTree->DensityTree,ClustersByAttractors,DenseAreas->AMRTree->ClustersAMR,CandidatesBySNN->SNNByConnectiveness,ClustersByAttractors,ClustersByAttractors,AttractionTree->DensityTree
CandidatesBySNN->ClustersByDistribution,DenseAreas->AMRTree->ClustersAMR,ClustersByAttractors,CandidatesBySNN->MergeByOverlap,ClustersByAttractors,Equally Sized Grid->AMRTree->MergeByDistance,CandidatesByNpts->ClusterByConnectiveness,Equally Sized Grid->AMRTree->ClustersAMR,DenseAreas->ClustersByAttractors,CandidatesByDistance->ClustersByDistribution
CandidatesByNpts->ClustersByDistribution,AdaptableKDTree->ClustersAMR,AttractionTree->DensityTree,CandidatesBySNN->ClustersByDistribution,ClustersByAttractors,CandidatesByDistance->ClusterByConnectiveness,Equally Sized Grid->AMRTree->ClustersAMR,CandidatesByNpts->ClusterByConnectiveness,CandidatesBySNN->ClusterByConnectiveness,CandidatesByNpts->ClusterByConnectiveness
CandidatesByDistance->ClustersByDistribution,CandidatesBySNN->MergeByDistance,Equally Sized Grid->AMRTree->MergeByOverlap,Equally Sized Grid->AMRTree->MergeByOverlap,AttractionTree->DensityTree,CandidatesBySNN->SNNByConnectiveness,ClustersByAttractors,Equally Sized Grid->AMRTree->MergeByDistance,ClustersByAttractors,ASH->ClustersByAttractors
Equally Sized Grid->AMRTree->MergeByOverlap,DenseAreas->AMRTree->MergeByOverlap,AttractionTree->DensityTree,ClustersByAttractors,AttractionTree->DensityTree,CandidatesBySNN->MergeByOverlap,ClustersByAttractors,DenseAreas->ClusterByPartition,ClustersByAttractors,CandidatesBySNN->MergeByDistance
CandidatesByDistance->ClusterByConnectiveness,DenseAreas->AMRTree->MergeByOverlap,DenseAreas->ClustersByAttractors,AttractionTree->DensityTree,AttractionTree->DensityTree,ClustersByAttractors,AttractionTree->DensityTree,CandidatesByDistance->ClusterByConnectiveness,CandidatesByNpts->ClusterByConnectiveness,DenseAreas->ClusterByPartition
ClustersByAttractors,DenseAreas->ClustersByAttractors,AttractionTree->DensityTree,DenseAreas->AMRTree->MergeByOverlap,AttractionTree->DensityTree,DenseAreas->ClustersByAttractors,DenseAreas->AMRTree->ClustersAMR,ClustersByAttractors,CandidatesBySNN->SNNByConnectiveness,CandidatesByDistance->ClustersByDistribution
Equally Sized Grid->AMRTree->MergeByOverlap,AttractionTree->DensityTree,DenseAreas->ClusterByPartition,DenseAreas->ClusterByPartition,CandidatesBySNN->ClustersByDistribution,DenseAreas->AMRTree->ClustersAMR,CandidatesBySNN->ClustersByDistribution,CandidatesBySNN->ClustersByDistribution,CandidatesBySNN->MergeByOverlap,DenseAreas->ClusterByPartition
