% # of instances: 2000

% Class distribution
% c1: 487
% c2: 487
% c3: 522
% c4: 504

@relation Synthetic_3_train

@attribute Dimension_1 numeric
@attribute Dimension_2 numeric
@attribute Dimension_3 numeric
@attribute Dimension_4 numeric
@attribute Dimension_5 numeric
@attribute Dimension_6 numeric
@attribute Dimension_7 numeric
@attribute Dimension_8 numeric
@attribute Dimension_9 numeric
@attribute Dimension_10 numeric
@attribute Dimension_11 numeric
@attribute Dimension_12 numeric
@attribute Dimension_13 numeric
@attribute Dimension_14 numeric
@attribute Dimension_15 numeric
@attribute Dimension_16 numeric
@attribute Dimension_17 numeric
@attribute Dimension_18 numeric
@attribute Dimension_19 numeric
@attribute Dimension_20 numeric
@attribute class {c1,c2,c3,c4}

@data
0.462106,3.53918,-0.184235,-0.008021,1.061662,1.389768,1.069414,3.245501,0.525895,1.272628,-3.554709,1.722959,-0.097914,1.331701,-5.515153,0.052016,0.062277,-1.136504,-5.008318,-2.097153,c2
1.171071,2.518798,0.518522,18.122127,-0.54728,0.883932,1.098172,0.775615,1.152599,1.371955,-0.817606,1.748768,0.938047,-1.670271,-4.720513,0.487095,-0.651616,-1.228238,36.919456,1.770262,c4
1.770783,0.920831,0.854444,-9.950877,-0.06321,0.971641,4.819243,54.486352,1.723308,1.213279,0.290724,1.50607,0.910325,-0.52492,-3.962607,0.103983,-0.225308,-2.100388,-21.662987,2.675022,c4
1.485235,2.823463,0.357699,-0.294088,0.460119,0.500406,-4.425909,26.246043,1.929832,0.483106,-3.397159,1.779232,0.932435,-1.002214,-3.857432,0.319252,0.209371,-1.367107,-0.505716,5.051375,c4
-0.104898,6.093294,0.808595,-0.281528,1.945026,0.552552,0.815984,0.387801,0.882982,1.568645,3.300667,1.832866,0.904772,4.148292,1.624156,0.782373,-0.280206,-0.172236,7.820454,-0.765504,c2
0.405286,0.604746,-1.595866,-2.331004,-0.501906,0.553015,-0.824191,-3.938442,1.3032,1.051128,-1.176827,1.511285,0.303197,-1.462601,-5.195587,0.166427,-1.525752,-1.81575,-4.102793,4.512324,c4
0.194417,0.191052,9.17857,-3.407595,0.757645,0.825741,3.175928,-16.78322,0.923499,0.217157,1.529549,1.431767,-0.920768,-0.424391,-0.470334,0.581905,0.962116,1.223948,0.690365,-0.394639,c1
0.990338,3.026631,1.542366,7.71077,-1.0693,-0.062961,0.494438,-0.220279,1.38503,-0.208772,0.488728,1.747308,0.414851,1.143242,0.834694,0.990524,-2.343064,-1.77546,1.840311,0.141618,c3
1.085426,-0.156425,2.200854,-3.985388,-2.228954,0.766403,1.894279,7.110545,1.713091,0.893504,2.616404,1.540549,1.21103,-1.55919,-5.515256,0.325578,1.601555,-1.788446,-5.8186,5.544822,c4
0.154569,1.885194,3.830012,1.214887,1.928884,0.532122,0.572584,2.491284,0.508626,-0.220525,-1.160977,1.88813,-0.035107,0.943503,1.252396,0.509889,-1.368127,-3.122835,3.742217,0.863996,c3
0.253866,-0.293062,-8.210171,-2.663862,0.855712,0.920833,-3.510718,52.866005,1.08428,0.61173,0.674175,1.519633,-0.548588,0.945721,-2.318874,0.426704,1.563273,-1.289563,2.413404,-1.910249,c1
1.262957,1.0753,3.832408,5.300559,-0.481042,0.843476,4.325099,43.413284,1.364633,0.824259,6.296246,1.56996,0.824211,-0.212521,-1.737018,0.697083,0.537097,-1.410477,11.00352,5.334479,c4
0.063745,1.491529,-2.993101,-5.550721,1.986349,0.707948,3.176862,24.20143,0.291248,0.35512,0.422217,1.499068,0.388954,-1.802314,-3.938449,0.523884,2.526875,-2.635564,-13.547884,2.378604,c4
1.065257,2.411544,0.824348,0.014453,1.84509,0.352586,-0.550765,0.87315,1.87023,0.732434,-1.113837,1.969689,0.664114,2.32345,-1.06326,0.227176,1.783573,-2.027142,-1.440824,-23.795122,c2
0.888247,-0.052286,5.057223,-4.034895,0.54833,0.746417,4.905241,-7.355629,1.2675,0.4984,1.374994,1.820058,-0.765367,0.552816,-0.344312,0.896653,1.450246,4.832836,1.231995,1.406627,c1
1.348329,-0.480152,2.236283,-2.254042,0.633931,0.675391,-7.318717,176.157002,0.998451,0.292394,0.193214,1.243462,-0.271223,-1.339632,-1.232181,0.724597,0.663888,2.434309,1.356913,-2.082658,c1
0.45783,1.848897,0.504115,1.778797,0.065704,0.151948,1.218465,4.426029,0.888913,0.338253,0.691109,1.903397,0.689637,0.227576,1.917903,0.26838,0.549498,-1.56354,4.112981,1.356837,c3
-0.076614,2.428285,-0.183159,-0.966274,1.369123,0.746961,1.203123,3.147174,0.413803,0.110158,6.533339,1.747856,0.430558,1.565679,-3.29991,0.820287,-2.393435,-1.414988,12.348321,0.00501,c2
-0.40269,2.108666,0.233026,3.235163,-0.136354,-0.071656,0.574547,2.246968,0.562694,-0.555412,4.240337,1.954354,0.254641,2.530559,-1.070266,0.315981,-0.603721,-1.570268,-2.79187,1.8297,c3
