@relation glass

@attribute RI numeric
@attribute Na numeric
@attribute Mg numeric
@attribute Al numeric
@attribute Si numeric
@attribute K numeric
@attribute Ca numeric
@attribute Ba numeric
@attribute Fe numeric

@data
43.283582,43.759398,100,25.233645,35.178571,0.966184,30.855019,0,0
28.358209,47.518797,80.178174,33.333333,52.142857,7.729469,22.304833,0,0
22.080773,42.105263,79.064588,38.94081,56.785714,6.280193,21.840149,0,0
28.5777,37.293233,82.182628,31.152648,50,9.178744,25.929368,0,0
27.524144,38.195489,80.623608,29.595016,58.392857,8.856683,24.535316,0,0
21.115013,30.977444,80.400891,41.433022,56.428571,10.305958,24.535316,0,50.980392
27.568042,38.646617,80.178174,26.479751,58.571429,9.339775,25.464684,0,0
28.138718,36.390977,80.400891,23.676012,61.25,9.178744,26.115242,0,0
35.250219,49.774436,79.732739,33.64486,40.535714,9.017713,26.672862,0,0
28.09482,34.135338,80.178174,33.333333,56.785714,9.178744,27.60223,0,21.568627
20.017559,29.924812,77.060134,39.563863,60.535714,10.78905,24.72119,0,47.058824
28.446005,31.12782,81.514477,30.529595,57.142857,9.661836,29.089219,0,0
20.807726,32.330827,76.391982,34.579439,61.964286,11.111111,24.349442,0,47.058824
27.787533,32.030075,79.287305,30.529595,60.714286,8.695652,27.416357,0,33.333333
28.446005,28.270677,79.955457,31.775701,62.142857,9.339775,28.531599,0,0
28.358209,31.278195,78.841871,29.283489,61.25,9.339775,27.509294,0,0
29.367867,29.323308,81.737194,27.102804,58.928571,9.822866,30.390335,0,0
47.453907,54.586466,85.746102,18.691589,27.678571,2.415459,34.572491,0,0
34.942932,47.669173,83.073497,27.725857,41.25,0.966184,32.156134,0,0
27.216857,34.43609,78.841871,43.613707,52.142857,8.695652,27.973978,0,13.72549
27.875329,31.428571,79.064588,37.383178,52.5,8.695652,28.717472,0,37.254902
37.357331,60.75188,83.518931,0,39.464286,0.483092,33.178439,0,0
27.260755,30.827068,80.623608,31.152648,53.214286,9.500805,30.390335,0,0
27.919227,31.278195,79.510022,33.021807,57.321429,9.983897,29.36803,0,0
26.558385,39.849624,77.951002,26.791277,54.285714,8.05153,27.881041,0,0
28.489903,33.834586,78.841871,28.660436,56.964286,10.466989,28.810409,0,0
29.76295,37.293233,77.505568,34.890966,50.535714,9.500805,27.881041,0,0
26.602283,32.180451,77.505568,32.398754,57.678571,9.017713,27.881041,0,0
